"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.045581200E-2,4.638765752E-1,1.102529883E0,8.567650795E0
1.244846800E-2,4.399345517E-1,1.088164687E0,8.591592789E0
1.444112400E-2,4.249708056E-1,1.069011092E0,8.596381187E0
1.643378100E-2,4.058171809E-1,1.045069098E0,8.625111580E0
1.842643700E-2,3.818751574E-1,1.025915384E0,8.672995567E0
2.041909300E-2,3.818751574E-1,1.016338587E0,8.706514359E0
2.241174900E-2,3.722983599E-1,9.876081944E-1,8.720879555E0
2.440440600E-2,3.483563364E-1,1.001973391E0,8.749609947E0
2.639706200E-2,3.435679376E-1,1.001973391E0,8.807070732E0
2.838805200E-2,3.435679376E-1,1.001973391E0,8.864531517E0
3.037904100E-2,3.579331636E-1,1.016338587E0,8.945934296E0
3.237659300E-2,3.339911401E-1,1.030703783E0,9.056067467E0
3.434180200E-2,3.100491166E-1,1.059434295E0,9.252392769E0
3.630701000E-2,2.765302956E-1,1.073799491E0,9.295488358E0
3.830701000E-2,2.765302956E-1,1.073799491E0,9.333795547E0
4.030701000E-2,2.525882721E-1,1.102529883E0,9.429563522E0
4.230701000E-2,2.573766708E-1,1.116895080E0,9.491812706E0
4.430701000E-2,2.334346622E-1,1.131260276E0,9.564237595E0
4.630701000E-2,2.142810524E-1,1.145625472E0,9.636063576E0
4.830701000E-2,2.047042400E-1,1.164779186E0,9.717466354E0
5.030701000E-2,2.094926536E-1,1.174355984E0,9.789292336E0
5.230701000E-2,2.047042400E-1,1.193509579E0,9.813234329E0
5.430701000E-2,2.047042400E-1,1.212663174E0,9.870695114E0
5.630701000E-2,2.047042400E-1,1.227028370E0,9.880271912E0
5.830701000E-2,2.094926536E-1,1.274912357E0,9.913790703E0
6.030701000E-2,2.190694511E-1,1.265335560E0,9.928155899E0
6.230701000E-2,2.430114746E-1,1.289277673E0,9.961674690E0
6.430701000E-2,2.669534981E-1,1.294066072E0,1.002392387E1
6.630701000E-2,3.244143426E-1,1.303642869E0,1.002871227E1
6.830701000E-2,3.483563364E-1,1.332373261E0,1.008617306E1
7.030701000E-2,3.962403834E-1,1.351526856E0,1.012448025E1
7.230701000E-2,4.010287821E-1,1.370680451E0,1.014842224E1
7.430701000E-2,4.399345517E-1,1.404797792E0,1.018672943E1
7.630701000E-2,4.638765752E-1,1.419163108E0,1.019630623E1
7.830701000E-2,4.495113790E-1,1.443105102E0,1.019630623E1
8.030701000E-2,4.830302000E-1,1.481412292E0,1.017236423E1
8.230701000E-2,4.638765752E-1,1.500565886E0,1.011490345E1
8.430701000E-2,4.495113790E-1,1.529296279E0,1.005265427E1
8.630701000E-2,4.351461530E-1,1.548449993E0,9.966463089E0
8.830701000E-2,4.106055796E-1,1.538873196E0,9.885060310E0
9.030701000E-2,3.866635859E-1,1.562815189E0,9.798869133E0
9.230701000E-2,3.531447649E-1,1.572391987E0,9.717466354E0
9.430701000E-2,3.339911401E-1,1.577180386E0,9.664793968E0
9.630701000E-2,3.387795389E-1,1.581968784E0,9.602544785E0
9.830701000E-2,3.148375154E-1,1.596333981E0,9.554660797E0
1.003070100E-1,2.956839204E-1,1.596333981E0,9.491812706E0
1.023070100E-1,2.669534981E-1,1.610699177E0,9.453505516E0
1.043070100E-1,2.573766708E-1,1.625064373E0,9.396044731E0
1.063070100E-1,2.669534981E-1,1.596333981E0,9.396044731E0
1.083070100E-1,3.292027414E-1,1.514931083E0,9.376891136E0
1.103070100E-1,4.495113790E-1,1.433528304E0,9.424775124E0
1.123070100E-1,5.500678420E-1,1.423951507E0,9.564237595E0
1.143070100E-1,5.835866928E-1,1.414374709E0,9.616909981E0
1.163070100E-1,5.452794433E-1,1.433528304E0,9.588179588E0
1.183070100E-1,5.548562407E-1,1.457470298E0,9.559449196E0
1.203070100E-1,6.123170853E-1,1.447893500E0,9.535507202E0
1.223070100E-1,6.218938828E-1,1.438316703E0,9.525930405E0
1.243070100E-1,6.554127336E-1,1.443105102E0,9.491812706E0
1.263070100E-1,7.272387743E-1,1.433528304E0,9.443928719E0
1.283070100E-1,6.937199235E-1,1.447893500E0,9.424775124E0
1.303070100E-1,6.793547273E-1,1.443105102E0,9.372102737E0
1.323070100E-1,6.554127336E-1,1.476623893E0,9.333795547E0
1.343070100E-1,5.740098357E-1,1.510142684E0,9.276334763E0
1.363070100E-1,5.165489912E-1,1.500565886E0,9.194931984E0
1.383070100E-1,4.878185987E-1,1.514931083E0,9.170989990E0
1.403070100E-1,4.249708056E-1,1.529296279E0,9.185355186E0
1.423070100E-1,3.675099611E-1,1.538873196E0,9.142259598E0
1.443070100E-1,3.675099611E-1,1.543661594E0,9.103952408E0
1.463070100E-1,3.004723191E-1,1.567603588E0,9.051279068E0
1.483070100E-1,2.047042400E-1,1.601122379E0,9.032125473E0
1.503070100E-1,1.041477770E-1,1.634641171E0,9.003395081E0
1.523070100E-1,6.584054977E-2,1.644217968E0,8.979453087E0
1.543070100E-1,8.379706182E-3,1.663371682E0,8.950722694E0
1.563070100E-1,-8.259996027E-2,1.696890473E0,8.931569099E0
1.583070100E-1,-1.640028208E-1,1.725620866E0,8.907627106E0
1.603070100E-1,-2.693476975E-1,1.744774461E0,8.907627106E0
1.623070100E-1,-2.789244950E-1,1.730409265E0,8.893261909E0
1.643070100E-1,-3.507505357E-1,1.744774461E0,8.902838707E0
1.663070100E-1,-3.507505357E-1,1.759139657E0,8.883685112E0
1.683070100E-1,-3.363853395E-1,1.787870169E0,8.811859131E0
