"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.430701000E-2,2.862813771E-1,4.178376496E-1,-6.009245515E-1
9.630701000E-2,2.809551954E-1,4.242290556E-1,-5.977289081E-1
9.830701000E-2,2.756290436E-1,4.306204617E-1,-5.945332050E-1
1.003070100E-1,2.681724131E-1,4.370118380E-1,-5.902722478E-1
1.023070100E-1,2.585853040E-1,4.380770922E-1,-5.849460959E-1
1.043070100E-1,2.468677461E-1,4.380770922E-1,-5.806851387E-1
1.063070100E-1,2.372806519E-1,4.359466136E-1,-5.774894357E-1
1.083070100E-1,2.266283184E-1,4.295552075E-1,-5.742937326E-1
1.103070100E-1,2.149107605E-1,4.220985770E-1,-5.732285380E-1
1.123070100E-1,2.063889056E-1,4.093157947E-1,-5.764242411E-1
1.143070100E-1,1.968017966E-1,3.901416063E-1,-5.796199441E-1
1.163070100E-1,1.904104054E-1,3.699021637E-1,-5.849460959E-1
1.183070100E-1,1.850842386E-1,3.528584540E-1,-5.881417990E-1
1.203070100E-1,1.776276082E-1,3.358147144E-1,-5.934679508E-1
1.223070100E-1,1.712362021E-1,3.155752718E-1,-6.019898057E-1
1.243070100E-1,1.669752747E-1,2.974663079E-1,-6.094464660E-1
1.263070100E-1,1.584534049E-1,2.772268951E-1,-6.179683208E-1
1.283070100E-1,1.499315500E-1,2.591179311E-1,-6.286206245E-1
1.303070100E-1,1.456706226E-1,2.399437428E-1,-6.382077336E-1
1.323070100E-1,1.403444558E-1,2.250304818E-1,-6.488600373E-1
1.343070100E-1,1.328878254E-1,2.122476846E-1,-6.584471464E-1
1.363070100E-1,1.275616586E-1,2.005301118E-1,-6.669690013E-1
1.383070100E-1,1.211702600E-1,1.930734813E-1,-6.733604074E-1
1.403070100E-1,1.137136221E-1,1.834863871E-1,-6.808170676E-1
1.423070100E-1,1.062569916E-1,1.770949960E-1,-6.861432195E-1
1.443070100E-1,9.986559302E-2,1.749645174E-1,-6.925346255E-1
1.463070100E-1,9.240896255E-2,1.696383655E-1,-6.989260316E-1
1.483070100E-1,8.495233208E-2,1.685731262E-1,-7.031869292E-1
1.503070100E-1,7.643046975E-2,1.653774232E-1,-7.063826323E-1
1.523070100E-1,6.790860742E-2,1.643121988E-1,-7.085131407E-1
1.543070100E-1,5.938674137E-2,1.632469594E-1,-7.106435895E-1
1.563070100E-1,5.086487532E-2,1.611164957E-1,-7.095783353E-1
1.583070100E-1,3.914731368E-2,1.621817350E-1,-7.074478865E-1
1.603070100E-1,2.956021577E-2,1.621817350E-1,-7.031869292E-1
1.623070100E-1,1.997311972E-2,1.632469594E-1,-6.967955232E-1
1.643070100E-1,1.145125460E-2,1.621817350E-1,-6.893389225E-1
1.663070100E-1,2.929390874E-3,1.653774232E-1,-6.829475164E-1
1.683070100E-1,-9.986559860E-3,1.653774232E-1,-6.744256616E-1
1.703070100E-1,-2.063889056E-2,1.685731262E-1,-6.669690013E-1
1.723070100E-1,-3.129122034E-2,1.717688292E-1,-6.627081037E-1
