time,X,Y,Z
9.068818364,-0.1559234858,0.5328828096,0.02543243766
9.070811385,-0.1793586165,0.528621912,0.01691057347
9.072804406,-0.2038589716,0.5200999975,0.01158440951
9.074797427,-0.2326202542,0.510512948,0.007323476952
9.076790447,-0.2624467909,0.4998605847,0.005193010904
9.078783468,-0.2933385372,0.489208281,0.007323476952
9.080776489,-0.3284912407,0.4774906933,0.01051917579
9.08276951,-0.3668396175,0.4668383598,0.01691057347
9.084762531,-0.4073184729,0.4625774324,0.02543243766
9.086755552,-0.4573844373,0.458316505,0.03608476743
9.088748572,-0.5138418078,0.4593817294,0.04780233279
9.090741593,-0.5766905546,0.4668383598,0.06484606117
9.092734614,-0.6501916051,0.479621172,0.08188978583
9.094727635,-0.7343450189,0.5030562878,0.1021292135
9.096720656,-0.8280855417,0.5360785127,0.1244991124
9.098713677,-0.9378045201,0.5776225924,0.1500647068
9.100706697,-1.063502073,0.6287537813,0.1766955256
9.102699718,-1.194525719,0.6830806732,0.2065220475
9.104692739,-1.333006024,0.7343450189,0.235283345
9.10668576,-1.476812482,0.7897371054,0.2672403455
9.108678781,-1.621684074,0.8451292515,0.3002625704
9.110671802,-1.766555786,0.8951951861,0.3332847953
9.112664822,-1.910362244,0.9410002232,0.3663070202
9.114657843,-2.049907684,0.9804138541,0.3971987665
9.116650864,-2.188388109,1.013436079,0.4302209914
9.118643885,-2.326868296,1.042197347,0.4621779919
9.120636958,-2.455761671,1.063502073,0.4962654412
9.122630031,-2.580393791,1.075219631,0.5271571875
9.124623104,-2.701830387,1.082676172,0.5569837093
9.126616177,-2.819005966,1.081611037,0.5825493336
9.128609249,-2.931920767,1.070958614,0.6081148982
9.130602322,-3.039509296,1.050719261,0.6304848194
9.132595395,-3.143902063,1.018762231,0.6485937834
9.134588468,-3.247229815,0.9750877023,0.6645722389
9.136581541,-3.347361565,0.9239565134,0.6752246022
9.138574614,-3.445363045,0.8643034697,0.6826812029
9.140567687,-3.535907984,0.7876066566,0.6805507541
9.14256076,-3.616865635,0.6991923451,0.677355051
9.144553833,-3.692497015,0.5999925137,0.6656374931
9.146546906,-3.755345821,0.4870778024,0.656050384
9.148539979,-3.804346561,0.349662751,0.6422023773
9.150533052,-3.843760252,0.1973344237,0.6262238622
9.152526124,-3.867195368,0.03009283356,0.607049644
9.154519197,-3.873586655,-0.14993155,0.58894068
9.15651227,-3.863999605,-0.340608269,0.5687012672
9.158505343,-3.841629744,-0.5451329947,0.5484618545
9.160498416,-3.802216053,-0.7571143508,0.5314181447
9.162491489,-3.753215313,-0.9690957665,0.5101134777
9.164484562,-3.690366745,-1.176816225,0.4898740351
9.166477635,-3.621126413,-1.379210472,0.4717650712
9.168470708,-3.538038254,-1.579474211,0.4557865858
9.170463781,-3.446428299,-1.778672814,0.4440690279
9.172456854,-3.352687836,-1.97574091,0.4376776218
9.174449927,-3.252555847,-2.169613361,0.4344819188
9.176442999,-3.151358843,-2.353898764,0.4355471432
9.178436072,-3.044835329,-2.529662132,0.4440690279
9.180429145,-2.937246799,-2.695838451,0.4536561072
9.182422218,-2.827528,-2.84497118,0.4664389193
9.184415291,-2.714613199,-2.982386112,0.4834826291
9.186408364,-2.599568129,-3.094235659,0.5026568174
9.188401437,-2.481327057,-3.189041376,0.5260919333
9.19039451,-2.36734724,-3.257216215,0.5505923033
9.192387583,-2.253367424,-3.305151701,0.5729622245
9.194380656,-2.142583132,-3.332847834,0.5942668915
9.196373729,-2.033929348,-3.345630646,0.6155715585
9.198366749,-1.932732224,-3.342434883,0.6358109713
9.20035977,-1.836861253,-3.328586817,0.656050384
9.202352791,-1.739925027,-3.306216955,0.677355051
9.204345812,-1.649380207,-3.272129536,0.7007901669
9.206338833,-1.562031031,-3.230585337,0.7242252827
9.208331854,-1.482138634,-3.179454327,0.7487256527
9.210324874,-1.409702778,-3.115540266,0.77748698
9.212317895,-1.347919226,-3.031386852,0.8105092049
9.214310916,-1.31489706,-2.922733068,0.8477923274
9.216303937,-1.312766552,-2.778926611,0.8925321102
9.218296958,-1.326614618,-2.602097988,0.9404675961
9.220289979,-1.362832546,-2.389051437,0.9926640391
9.222282999,-1.41502893,-2.141917229,1.046990871
9.22427602,-1.483203888,-1.861760974,1.104513526
9.226269041,-1.560965896,-1.551778197,1.157775164
9.228262062,-1.648314953,-1.214099288,1.207841039
9.230255083,-1.746316433,-0.8519201279,1.257907033
9.232248104,-1.845383048,-0.4684362113,1.300516367
9.234241124,-1.947645426,-0.07323476672,1.340995193
9.236234145,-2.050972939,0.331553787,1.379343629
9.238227166,-2.150039673,0.7428668737,1.411300659
9.240220187,-2.24484539,1.157242537,1.437931418
9.242213208,-2.335390329,1.569487691,1.452844739
9.244206229,-2.422739267,1.966819644,1.462431788
9.246199249,-2.507957935,2.349238396,1.465627432
9.24819227,-2.588915825,2.707156658,1.461366534
9.250185291,-2.668808222,3.034183025,1.449648976
9.252178312,-2.745504856,3.333513498,1.434735775
9.254171333,-2.821136475,3.606213331,1.415561557
9.256164354,-2.895702839,3.849086285,1.39425683
9.258157374,-2.969203949,4.06319809,1.368691325
9.260150395,-3.039509296,4.24748373,1.344190955
9.262143416,-3.109814644,4.396615982,1.318625331
9.264136437,-3.181185246,4.518052578,1.293059707
9.266129458,-3.251490593,4.60220623,1.268559337
9.268122479,-3.32179594,4.652272224,1.247254729
9.270115499,-3.392101526,4.670381069,1.228080511
9.27210852,-3.466667652,4.652272224,1.215297699
9.274101541,-3.535907984,4.595814705,1.204645395
9.276094562,-3.603017569,4.506335258,1.199319243
9.278087583,-3.671192408,4.3817029,1.195058346
9.280080604,-3.73297596,4.226178646,1.195058346
9.282073624,-3.787302971,4.047219753,1.199319243
9.284066645,-3.83097744,3.851216793,1.202514887
9.286059666,-3.861869097,3.644561529,1.209971547
9.288052687,-3.874651909,3.430449724,1.217428207
9.290045708,-3.8725214,3.214207411,1.223819613
9.292038729,-3.85547781,3.009682655,1.23021102
9.294031749,-3.825651169,2.808353662,1.233406663
9.29602477,-3.779846191,2.623003244,1.235537171
9.298017791,-3.720193148,2.449370146,1.235537171
9.300010812,-3.646692038,2.290650368,1.234471917
9.302003833,-3.557212591,2.142583132,1.23021102
9.303996854,-3.460276365,1.995580912,1.225950003
9.305989874,-3.351622581,1.852839708,1.219558716
9.307982895,-3.233381748,1.712228894,1.212102056
9.309975916,-3.10874939,1.576944351,1.200384498
9.311968937,-2.978790998,1.44698596,1.185471177
9.313961958,-2.84457159,1.325549364,1.169492722
9.315954979,-2.711417437,1.215830326,1.151383758
9.317947999,-2.580393791,1.117828846,1.129013896
9.31994102,-2.454696417,1.032610297,1.100252509
9.321934041,-2.333259821,0.9612396359,1.068295598
9.323927062,-2.223540783,0.9058475494,1.029947162
9.325920083,-2.123408794,0.8685643673,0.9905335307
9.327913104,-2.037125111,0.8493902087,0.9479242563
9.329906177,-1.963623881,0.8472597003,0.9063801765
9.331899249,-1.896514297,0.8674991727,0.8627055883
9.333892322,-1.846448302,0.9047822952,0.8190310597
9.335885395,-1.810230374,0.9601744413,0.7721607685
9.337878468,-1.781469107,1.034740686,0.7284862399
9.339871541,-1.76762104,1.122089863,0.6837464571
9.341864614,-1.763360143,1.221156478,0.6379414201
9.343857687,-1.768686295,1.323418856,0.5942668915
9.34585076,-1.782534361,1.436333537,0.5505923033
9.347843833,-1.799578071,1.556704879,0.5079829693
9.349836906,-1.820882678,1.679206729,0.4696346223
9.351829979,-1.848578811,1.80916512,0.4334166944
9.353823052,-1.876274824,1.930601716,0.3982639909
9.355816124,-1.903970838,2.052038193,0.3663070202
9.357809197,-1.933797359,2.163887739,0.3322195411
9.35980227,-1.962558746,2.265084982,0.2991973162
9.361795343,-1.992385268,2.356694937,0.2683055699
9.363788416,-2.021146536,2.435522079,0.238479048
9.365781489,-2.045646906,2.497305632,0.2086525112
9.367774562,-2.070147276,2.543110609,0.1798912287
9.369767635,-2.088256121,2.565480471,0.1575213373
9.371760708,-2.10529995,2.569741488,0.1330209672
9.373753781,-2.119148016,2.559089184,0.1149120107
9.375746854,-2.125539303,2.531393051,0.09680305421
9.377739927,-2.132996082,2.485588074,0.08188978583
9.379732999,-2.134061098,2.422739267,0.06910699606
9.381726072,-2.132996082,2.350303411,0.05951989442
9.383719145,-2.126604557,2.259758711,0.05099803209
9.385712218,-2.117017508,2.152170181,0.04567186534
9.387705291,-2.104234695,2.033929348,0.04034570232
9.389698364,-2.083995342,1.911427498,0.04141093418
9.391691437,-2.064821005,1.782534361,0.04141093418
9.39368451,-2.037125111,1.649380207,0.04354140162
9.395677583,-2.010494232,1.516226053,0.0467370972
9.397670656,-1.977471948,1.39052856,0.05206326395
9.399663729,-1.945514917,1.278679132,0.0573894307
9.401656802,-1.9071666,1.183873296,0.06271559745
9.403649874,-1.869883418,1.10185039,0.06910699606
9.405642895,-1.829404593,1.037936449,0.07656362653
9.407635916,-1.787860513,0.992131412,0.08082455397
9.409628937,-1.746316433,0.9633701444,0.084020257
9.411621958,-1.701576591,0.9516525269,0.084020257
9.413614979,-1.656836867,0.964435339,0.08295502514
9.415607999,-1.615292668,0.9931966662,0.08188978583
9.41760102,-1.576944351,1.043262601,0.07762885839
9.419594041,-1.541791677,1.102915645,0.06910699606
9.421587062,-1.506639004,1.170025349,0.0573894307
9.423580083,-1.474681973,1.242461205,0.04780233279
9.425573104,-1.453377366,1.318092704,0.03288906813
9.427566124,-1.438464046,1.388398051,0.01478010789
9.429559145,-1.427811742,1.454442501,-0.002263620263
9.431552166,-1.421420336,1.515160799,-0.01824211515
9.433545187,-1.418224573,1.570552945,-0.03315537795
9.435538208,-1.418224573,1.618488431,-0.04700340703
9.437531229,-1.41502893,1.653641105,-0.06191666797
