"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.389080900E-2,2.466027737E0,8.001421928E0,1.390432596E0
1.585601700E-2,2.533065319E0,8.034940720E0,1.625064373E0
1.782143400E-2,2.264914751E0,7.886500359E0,1.908178806E0
1.978815200E-2,2.240972757E0,7.685387611E0,2.152387381E0
2.175721500E-2,2.576161146E0,7.829039574E0,2.358288765E0
2.372945400E-2,2.763507366E0,8.155249596E0,2.607285738E0
2.570560000E-2,2.897582531E0,8.318055153E0,2.871246338E0
2.768174600E-2,3.103483915E0,8.279747963E0,3.125031710E0
2.966304800E-2,3.596689463E0,7.723694801E0,3.685275078E0
3.164976700E-2,3.721188068E0,7.905653954E0,3.680486679E0
3.364195400E-2,3.409941673E0,8.097189903E0,3.656544447E0
3.563992300E-2,3.108272314E0,8.303689957E0,3.675698042E0
3.760513100E-2,2.777872562E0,8.509591103E0,3.752312660E0
3.957034000E-2,2.470816135E0,8.758588791E0,3.781043053E0
4.153554800E-2,2.279279947E0,8.983643532E0,3.857657433E0
4.351039200E-2,2.135627985E0,9.141660690E0,3.930082083E0
4.549523600E-2,2.049436569E0,9.256582260E0,3.949235678E0
4.748997500E-2,2.049436569E0,9.333795547E0,3.987542868E0
4.949419400E-2,2.092532396E0,9.391256332E0,3.987542868E0
5.150705900E-2,2.159569979E0,9.372102737E0,4.001908302E0
5.352752700E-2,2.279279947E0,9.343372345E0,4.021061897E0
5.555424600E-2,2.432508945E0,9.285911560E0,4.116829872E0
5.758570400E-2,2.624045134E0,9.151237488E0,4.231751442E0
5.962018400E-2,2.744353771E0,9.112930298E0,4.404133797E0
6.165591300E-2,2.897582531E0,9.055469513E0,4.557363033E0
6.367940200E-2,3.007715940E0,8.978855133E0,4.705803394E0
6.567231900E-2,3.055599928E0,8.873510361E0,4.863820553E0
6.766523600E-2,3.055599928E0,8.739435196E0,4.935647011E0
6.965815200E-2,3.022081137E0,8.653243065E0,4.926070213E0
7.165106900E-2,3.026869535E0,8.557475090E0,4.964377403E0
7.364398600E-2,3.002927542E0,8.466495514E0,4.940435410E0
7.563690200E-2,2.983773947E0,8.409034729E0,4.921281815E0
7.762981900E-2,2.964620352E0,8.380304337E0,4.873397350E0
7.962273600E-2,2.978985548E0,8.409034729E0,4.882974148E0
8.161565200E-2,2.935889721E0,8.409034729E0,4.868608952E0
8.360856900E-2,2.950255156E0,8.322843552E0,4.787206173E0
8.560148600E-2,2.916736126E0,8.380304337E0,4.787206173E0
