Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
60.00485171,0.9939331055,0.1206491089,-2.478096771,2.672718248
60.01493371,1.867366791,-0.09056167603,-2.038011932,2.765637862
60.02501671,2.585722961,-0.3128494263,-1.446591797,2.97933983
60.03509871,3.138673096,-0.9723779297,-0.620609436,3.343941344
60.04518071,3.583697662,-2.139800262,0.1930984497,4.178387381
60.05526271,3.643573151,-3.958967285,0.8818162537,5.452214887
60.06534471,3.325933685,-6.442752228,2.494861908,7.667804581
60.07542671,2.209255829,-9.962832184,6.316864014,12.00173352
60.08550871,0.7914042664,-14.69658829,11.19581818,18.49222465
60.09559071,-0.3697311401,-21.3028006,18.4600621,28.19077699
60.10567271,-1.714085541,-31.48552551,33.66289764,46.12447381
60.11575471,-4.942571869,-38.61190613,24.65118759,46.07590869
60.12583671,-5.938600616,-31.84837097,7.685917053,33.29653183
60.13591971,-4.600383453,-17.06451416,2.863096161,17.90414731
60.14600171,-3.180136871,-7.702532501,1.463656311,8.460766351
60.15608371,-1.725012817,-2.260149994,0.798589325,2.953251111
60.16616571,0.1422042847,0.5312452698,-0.6613247681,0.8601128089
60.17624771,2.064955902,0.2152523804,-4.379742279,4.846908179
60.18632971,6.052364044,-4.715045013,-9.688452759,12.35835251
60.19641171,10.11207184,-10.7973468,-14.49585571,20.71150713
60.20649371,12.6022934,-14.34107758,-15.17214935,24.38602921
60.21657571,12.07419159,-14.43328583,-8.458161163,20.63119804
60.22665771,9.056616669,-15.34518951,15.5523587,23.6510678
60.23674071,0.7445516968,-17.63767227,32.15942413,36.68610638
60.24682271,0.6483018494,-13.4980307,0.06212081909,13.51373328
60.25690471,-0.3448828125,-7.003635864,-8.795110474,11.2482811
60.26698671,-1.623523865,-3.729943542,-8.699309692,9.603452384
60.27706871,-0.2303709412,-3.057092743,-8.866661682,9.381714992
60.28715071,2.378404083,-4.408332825,-7.56811203,9.075600475
60.29723271,4.208947449,-6.183042297,-6.915319519,10.18660369
60.30731471,4.716392212,-8.259075165,-6.049220581,11.27163465
60.31739671,3.079396362,-10.269245,-4.520749054,11.63517283
60.32747871,1.171613617,-11.42678787,-2.713856506,11.80293085
60.33756192,0.1992356873,-12.50634293,-0.2148033142,12.50977413
60.34764392,-0.3170407104,-13.25807968,2.699935455,13.53391455
60.35772592,-0.3300636292,-13.22230408,4.173171844,13.86916113
60.36780792,0.1398092651,-12.30321533,3.276087341,12.73269031
60.37788992,0.4243675232,-10.95466965,1.432521057,11.05608391
60.38797192,0.58737854,-9.22381897,-0.3085084534,9.247649831
60.39805392,1.026565247,-7.63247818,-1.572330322,7.860075191
60.40813592,1.67322052,-7.109166412,-2.176923065,7.62095191
60.41821792,2.401306458,-6.934779053,-1.790875854,7.554116066
60.42829992,1.886826324,-7.011569366,-1.536255341,7.421745013
60.43838192,1.403780823,-7.346423035,-1.32803833,7.596329233
60.44846492,1.176253967,-7.889194336,-0.996328125,8.038384813
60.45854692,0.9738748169,-8.242010651,-0.5706134033,8.31894052
60.46862892,0.6348298645,-8.206833801,0.1181044006,8.23219768
60.47871092,0.2784210205,-8.069269867,0.5435197449,8.092345035
60.48879292,0.1908531189,-7.856861572,0.839304657,7.903868103
60.49887492,0.4219725037,-7.813451843,0.9583071899,7.88330154
60.50895692,1.00036972,-7.762857056,0.5860313416,7.848956745
60.51903892,1.714833984,-7.843539276,-0.2115101624,8.031593897
60.52912092,2.428998871,-8.194409637,-0.7746391296,8.581867547
60.53920292,2.625989227,-9.051976318,-0.6054908752,9.444612956
60.54928592,2.223476257,-10.31280441,0.3707789612,10.55629
60.55936792,1.48595993,-11.64518372,1.365161133,11.8187159
60.56944992,0.5855822754,-12.65618134,1.849703522,12.80403201
60.57953192,-0.2246827698,-12.90167084,1.873504028,13.03892672
