Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
20.00017248,0.9648633003,-10.58237171,-0.9696516991,10.67041595
20.00517579,0.6440402865,-10.40280628,-0.8667010069,10.45869672
20.00970286,0.1915361285,-10.12029076,-0.7182605267,10.14755484
20.01470755,-0.2609679997,-9.780313492,-0.5075707436,9.796951789
20.02015986,-0.9193734527,-9.409213066,-0.2944868207,9.458607749
20.02516532,-1.26413846,-9.129091263,-0.2466027737,9.219499241
20.0301694,-1.723825216,-8.7843256,-0.3040636182,8.957030998
20.03517548,-2.056619167,-8.384494781,-0.605733037,8.654267598
20.04017948,-2.188300371,-8.068459511,-0.9935936928,8.418784106
20.04515463,-2.195482969,-7.829039574,-1.37427175,8.246370654
20.05015802,-2.159569979,-7.69017601,-1.563413739,8.139214463
20.05516294,-1.934514999,-7.644686222,-1.592144132,8.044780833
20.06016809,-1.697489023,-7.685387611,-1.474828243,8.007607013
20.06517371,-1.414973259,-7.864952564,-1.477222443,8.12661149
20.06973025,-1.139639974,-8.097189903,-1.419761658,8.299336526
20.07515278,-0.7565677166,-8.549694061,-1.398213744,8.6962443
20.08015917,-0.4692635238,-9.06205368,-1.424550056,9.185334399
20.08471517,-0.1867477298,-9.593565941,-1.422155857,9.700201516
20.09016748,0.03112462163,-10.10592556,-1.391031146,10.20125815
20.09517156,0.1101332754,-10.6350441,-1.302445769,10.71506684
20.10017825,0.07661445439,-10.9343195,-1.479616642,11.03424116
20.10515156,0.0191536136,-11.12585545,-1.649604917,11.24749851
20.11015586,-0.01675941236,-11.16416264,-1.764526606,11.30275906
20.11516102,-0.1029506698,-11.05881786,-2.118868589,11.2604465
20.12016571,-0.174776718,-10.89840603,-2.458845139,11.17370665
20.12517056,-0.2035071403,-10.66616821,-2.7509377,11.01708753
20.13017609,-0.1436520964,-10.44829655,-2.940079689,10.85502673
20.13514971,0.04309562966,-10.27830791,-2.930502892,10.68799878
20.14015548,0.2322375625,-10.09395409,-2.78924489,10.4748141
20.14516017,0.4189853072,-10.02452278,-2.738966703,10.40041077
20.1501644,0.7613561153,-10.15620327,-2.758120298,10.55155702
20.15516909,1.168370485,-10.41238308,-2.640804529,10.80539956
20.16017586,1.692700624,-10.69729328,-2.190694571,11.04972677
20.16517917,2.291250944,-11.03248119,-1.570596337,11.3768293
20.16970602,2.930502892,-11.23120022,-0.8140285611,11.63573582
20.17515894,3.706224203,-11.36048698,-0.01197100803,11.94976593
20.18016317,4.168305397,-11.27668953,0.5339069963,12.0342658
20.1851684,4.402936935,-11.12106705,0.7900865674,11.98700224
20.1901734,4.333505154,-11.09233665,0.6272808313,11.92529583
20.19517832,4.039018154,-11.26232433,0.2442085743,11.96717406
20.20015156,3.600879431,-11.46583176,-0.4357447028,12.02586812
20.20515732,2.887407303,-11.66933918,-1.209071875,12.081906
20.21016194,1.642422318,-11.86566353,-2.224213362,12.18354001
20.21516725,0.5458779931,-12.01889229,-2.944868088,12.38644431
20.22017217,-0.6584054828,-12.17212105,-3.509899616,12.68516551
20.22517802,-1.867477298,-12.35408115,-3.895366192,13.08757695
20.23015063,-3.260902643,-12.54801083,-4.30956316,13.66229836
20.23515579,-4.254496574,-12.65096188,-4.57531929,14.10961105
20.24016232,-4.979939461,-12.64138508,-4.618414879,14.3504066
20.24471832,-5.386953831,-12.54801083,-4.560954094,14.39701877
20.24969217,-5.334281445,-12.40196514,-4.405331135,14.20106476
20.25514479,-4.683058739,-12.33971596,-4.079719543,13.81462054
20.26015056,-3.888183594,-12.38520527,-3.813963413,13.52987798
20.26515517,-3.040636063,-12.49533844,-3.476380825,13.321568
20.27015925,-1.812410712,-12.69405746,-2.908955097,13.14861009
20.2751644,-0.7038952708,-12.99333286,-2.545036316,13.25893575
20.2801694,0.3782838583,-13.32612705,-1.975216389,13.4770264
