Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
40.00084204,2.37248373,-11.76371479,0.8817551732,12.03291972
40.00316053,2.519043922,-11.89472103,0.888933599,12.19098739
40.00547897,2.53818655,-11.85643578,0.7788637877,12.15006539
40.00779746,2.562713146,-11.87498093,0.7220342159,12.16979885
40.01011595,2.562114954,-11.98564816,0.5706881881,12.26971392
40.01243444,2.571087837,-12.12024498,0.4378865361,12.39768429
40.01475287,2.516651154,-12.18903828,0.3236292601,12.45033827
40.01707136,2.457428932,-12.2482605,0.195015043,12.49387342
40.01938985,2.301297188,-12.24706459,0.05024927482,12.46150412
40.02170834,2.100898266,-12.18485069,-0.123828575,12.36526156
40.02402678,1.818545222,-12.10110188,-0.3367897868,12.24161757
40.02634527,1.53918314,-11.96351528,-0.4833501875,12.07180227
40.02866376,1.281356573,-11.92642593,-0.5479564071,12.00757121
40.03098225,1.037886858,-12.28295708,-0.5144568682,12.33745961
40.03328782,0.6191428304,-12.38824081,-0.3314059377,12.40812952
40.03561918,0.4875376225,-11.94975662,-0.2261217386,11.96183545
40.03793766,0.3487538993,-11.80379391,-0.0466600433,11.80903709
40.04025616,0.2075773627,-11.73440266,0.0951147005,11.73662391
40.04257464,0.09272187948,-11.77029419,0.2991028428,11.77445902
40.04489308,0.02991028316,-11.83908844,0.5563312769,11.85219027
40.04721157,0.0382851623,-11.8528471,0.775872767,11.87827549
40.04953006,0.09810572863,-11.98086262,0.8727820516,12.01301138
40.05184855,0.2434697002,-12.09691525,0.970289588,12.13820818
40.05416704,0.4097708762,-12.29432297,1.116850019,12.35174657
40.05648548,0.5934200287,-12.60180092,1.216152072,12.67424789
40.05880397,0.7794619799,-12.60718441,1.241874933,12.69215951
40.06112246,1.000199914,-12.82313633,1.216750264,12.91950875
40.06344095,1.197009563,-13.2269249,1.154536963,13.33106634
40.06575938,1.347159147,-13.67498112,1.087537885,13.78414615
40.06806496,1.417149186,-14.11526108,0.9523434043,14.21815266
40.07039636,1.526022673,-14.45384502,0.9320043921,14.56403149
40.07271485,1.585843205,-14.71645737,0.9008977413,14.82904693
40.07502037,1.655833244,-14.85883045,0.9744769931,14.98253088
40.07735178,1.756331801,-14.89472294,0.9990034699,15.03115035
40.07967027,1.909472466,-14.90549088,1.086939692,15.06655837
40.08198876,2.073979139,-14.81037617,1.08335042,14.99407482
40.08430725,2.21216464,-14.60100365,0.9822536707,14.80026358
40.08662569,2.39162612,-14.34736443,0.9439685345,14.57593284
40.08894418,2.562114954,-14.10329628,0.8859425783,14.36148646
40.09126266,2.656033039,-13.84128284,0.8518448472,14.11953476
40.09358116,2.729014158,-13.52782249,0.8404789567,13.82591424
40.09589959,2.858824968,-13.24128246,0.9349954724,13.57861031
40.09821808,2.944966555,-12.93141174,1.063011408,13.30504532
40.10053657,3.023929596,-12.65085316,1.137787223,13.05690605
40.10285506,3.086741209,-12.51506042,1.180259824,12.94402264
40.1051735,3.068794966,-12.53958702,1.089930773,12.95556615
