"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.131990900E-2,-2.032677174E0,4.825513363E0,7.815272808E0,9.407223011E0
1.331303400E-2,-2.123656988E0,4.839878559E0,7.858368397E0,9.470390558E0
1.530610700E-2,-2.229001760E0,4.859032154E0,7.896675587E0,9.536043605E0
1.729918000E-2,-2.315192938E0,4.868608952E0,7.944559574E0,9.601015482E0
1.929209700E-2,-2.410961151E0,4.911705017E0,8.006809235E0,9.697761286E0
2.128501300E-2,-2.458845139E0,4.935647011E0,8.064270020E0,9.769287680E0
2.327793000E-2,-2.521094322E0,4.940435410E0,8.121730804E0,9.834954493E0
2.527084700E-2,-2.568978310E0,4.964377403E0,8.169614792E0,9.898853388E0
2.726376300E-2,-2.592920542E0,4.964377403E0,8.203133583E0,9.932757951E0
2.925668000E-2,-2.592920542E0,4.983530998E0,8.222287178E0,9.958153673E0
3.124959700E-2,-2.597708941E0,5.002684593E0,8.246229172E0,9.988755700E0
3.324251300E-2,-2.607285738E0,5.012261391E0,8.255805969E0,1.000395099E1
3.523543000E-2,-2.612074137E0,5.021838188E0,8.298901558E0,1.004557401E1
3.722834700E-2,-2.631227732E0,5.045780182E0,8.327631950E0,1.008626348E1
3.922126300E-2,-2.583343744E0,5.055356979E0,8.361150742E0,1.010639109E1
4.121418000E-2,-2.592920542E0,5.060145378E0,8.365939140E0,1.011519876E1
4.320714900E-2,-2.602497339E0,5.060145378E0,8.346785545E0,1.010182620E1
4.520017000E-2,-2.578555346E0,5.064933777E0,8.361150742E0,1.010996259E1
4.719319000E-2,-2.573766708E0,5.069722176E0,8.356362343E0,1.010718307E1
4.918621100E-2,-2.568978310E0,5.060145378E0,8.341997147E0,1.008928328E1
5.117923200E-2,-2.540247917E0,5.064933777E0,8.341997147E0,1.008441025E1
5.317225300E-2,-2.535459518E0,5.055356979E0,8.341997147E0,1.007839797E1
5.516527400E-2,-2.506729126E0,5.045780182E0,8.332420349E0,1.005846993E1
5.715829500E-2,-2.477998734E0,5.026626587E0,8.318055153E0,1.002983021E1
5.915131500E-2,-2.468421936E0,5.031414986E0,8.294113159E0,1.001002281E1
6.114433600E-2,-2.449268341E0,5.002684593E0,8.279747963E0,9.978977647E0
6.313735700E-2,-2.430114746E0,4.978742599E0,8.222287178E0,9.914602462E0
6.513037800E-2,-2.406172752E0,4.969165802E0,8.179191589E0,9.868204048E0
6.712339900E-2,-2.367865562E0,4.964377403E0,8.136096001E0,9.820788586E0
6.911642000E-2,-2.372653961E0,4.950012207E0,8.093000412E0,9.778996029E0
7.110944000E-2,-2.339135170E0,4.959589005E0,8.064270020E0,9.752001199E0
7.310246100E-2,-2.324769735E0,4.940435410E0,8.040328026E0,9.719019041E0
7.509548200E-2,-2.305616140E0,4.926070213E0,8.016386032E0,9.687335988E0
7.708850300E-2,-2.272097349E0,4.921281815E0,8.011597633E0,9.673010788E0
7.908152400E-2,-2.286462545E0,4.911705017E0,8.016386032E0,9.675494931E0
8.107454500E-2,-2.257732153E0,4.911705017E0,8.021174431E0,9.672716263E0
8.306756500E-2,-2.248155355E0,4.887762547E0,8.021174431E0,9.658346880E0
8.506058600E-2,-2.233790159E0,4.897339344E0,8.025962830E0,9.663841393E0
8.705360700E-2,-2.209848166E0,4.882974148E0,8.016386032E0,9.643096518E0
8.904662800E-2,-2.190694571E0,4.882974148E0,8.011597633E0,9.634743166E0
9.103964900E-2,-2.181117773E0,4.882974148E0,7.997232437E0,9.620625651E0
