"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.151247600E-2,7.243058681E0,6.008847713E0,1.328183413E0,9.504326440E0
1.350554800E-2,7.252635479E0,6.023212910E0,1.419163108E0,9.533826046E0
1.549862100E-2,7.290942669E0,6.042366505E0,1.500565886E0,9.587478081E0
1.749169400E-2,7.334038258E0,6.061520100E0,1.548449993E0,9.639908737E0
1.948476700E-2,7.348403454E0,6.099827290E0,1.591545582E0,9.681939042E0
2.147784000E-2,7.391499043E0,6.118980885E0,1.644816518E0,9.735584550E0
2.347091300E-2,7.439383030E0,6.142922878E0,1.659181833E0,9.789423155E0
2.546398600E-2,7.425017834E0,6.157288074E0,1.663970232E0,9.788354468E0
2.745705900E-2,7.448959827E0,6.157288074E0,1.673547029E0,9.808157758E0
2.945018400E-2,7.444171429E0,6.181230068E0,1.697489023E0,9.823683749E0
3.144336100E-2,7.425017834E0,6.190806866E0,1.716642618E0,9.818545786E0
3.343659000E-2,7.429806232E0,6.176441669E0,1.711854219E0,9.812282977E0
3.542987100E-2,7.429806232E0,6.181230068E0,1.687912226E0,9.811150467E0
3.742320500E-2,7.429806232E0,6.200383663E0,1.697489023E0,9.824878992E0
3.941659000E-2,7.439383030E0,6.205172062E0,1.702277422E0,9.835971157E0
4.140997600E-2,7.458536625E0,6.195595264E0,1.707065821E0,9.845265003E0
4.340336100E-2,7.477690697E0,6.219537258E0,1.683123827E0,9.870734911E0
4.539674600E-2,7.501632690E0,6.224325657E0,1.707065821E0,9.895999021E0
4.739013200E-2,7.515997887E0,6.219537258E0,1.731007814E0,9.908039967E0
4.938351700E-2,7.520786285E0,6.229114056E0,1.731007814E0,9.917685028E0
5.137690300E-2,7.515997887E0,6.224325657E0,1.764526606E0,9.916955594E0
5.337028800E-2,7.511209488E0,6.209960461E0,1.778891921E0,9.906883130E0
5.536367300E-2,7.515997887E0,6.190806866E0,1.788468719E0,9.900249201E0
5.735705900E-2,7.506421089E0,6.190806866E0,1.788468719E0,9.892980722E0
5.935044400E-2,7.487267494E0,6.171653271E0,1.769315004E0,9.863009389E0
6.134383000E-2,7.472901821E0,6.157288074E0,1.750161409E0,9.839691205E0
6.333721500E-2,7.477690697E0,6.162076473E0,1.750161409E0,9.846324674E0
6.533060100E-2,7.439383030E0,6.157288074E0,1.735796213E0,9.811707537E0
6.732398600E-2,7.434594631E0,6.138134480E0,1.678335428E0,9.786046292E0
6.931737100E-2,7.401075840E0,6.133346081E0,1.644816518E0,9.751885926E0
7.131075700E-2,7.377133846E0,6.128557682E0,1.605910778E0,9.724210635E0
7.330409000E-2,7.357980251E0,6.133346081E0,1.558026791E0,9.704908810E0
7.529731900E-2,7.372345448E0,6.118980885E0,1.538873196E0,9.703686680E0
7.729054800E-2,7.367557049E0,6.128557682E0,1.486200690E0,9.697881656E0
7.928377800E-2,7.362768650E0,6.118980885E0,1.457470298E0,9.683827184E0
8.127700700E-2,7.353191853E0,6.090250492E0,1.428739905E0,9.654112036E0
8.327023600E-2,7.334038258E0,6.099827290E0,1.400009394E0,9.641371087E0
8.526346500E-2,7.276577473E0,6.085462093E0,1.380855799E0,9.585832846E0
8.725669400E-2,7.262212276E0,6.080673695E0,1.385644197E0,9.572582179E0
8.924992300E-2,7.223905087E0,6.095038891E0,1.380855799E0,9.552018976E0
9.124315300E-2,7.204751492E0,6.085462093E0,1.371279001E0,9.530041922E0
