Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
20.00940954,-1.920356598,-12.52370682,1.564995575,12.7663704
20.01949054,-3.495231628,-12.61831009,1.309925995,13.15881073
20.02957254,-4.974455566,-12.63058456,1.71184021,13.68237083
20.03965454,-5.253625031,-12.34587662,2.517165527,13.65127715
20.04973654,-4.467010803,-11.95608719,3.128494263,13.14114465
20.05981854,-3.712280273,-11.87705154,3.281775513,12.86916581
20.06990054,-3.665278015,-12.03197937,2.839595032,12.8944209
20.07998254,-3.572021942,-11.51226013,3.026107178,12.42774311
20.09006454,-3.374133453,-11.20539825,5.921087036,13.11506761
20.10014654,-2.636617126,-12.73087601,6.956034851,14.74494404
20.11022854,-1.268462219,-14.79837662,2.595153351,15.0776579
20.12031054,0.4221221924,-17.00613556,-1.977088623,17.12587847
20.13039254,2.668800201,-18.46125961,-6.442602539,19.73443003
20.14047454,5.574407959,-18.97199753,-8.523275757,21.53269477
20.15055654,8.231682129,-18.91571457,-6.841972046,21.73424555
20.16063854,9.571994934,-17.64410889,-1.783840485,20.15241306
20.17072054,7.811356201,-15.94169907,4.229155426,18.24940576
20.18080254,7.344327393,-14.68835541,5.563480682,17.33895172
20.19088454,8.063881073,-13.76657227,2.819087677,16.20160317
20.20096654,7.569758606,-13.04222855,0.5031037903,15.08821011
20.21104854,4.863685913,-11.5896492,-0.6397695923,12.5850989
20.22113054,0.1805245972,-9.90714798,-1.860331421,10.08191466
20.23121254,-3.285368042,-9.137598267,-1.510957947,9.827122629
20.24129454,-4.139940948,-8.742120667,-1.560804291,9.797953605
20.25137654,-2.587369537,-8.2280896,-1.91077652,8.834421684
20.26145854,-0.09430389404,-7.90281601,-1.973346405,8.146010689
20.27154054,1.453926544,-7.356751556,-1.698667603,7.689029034
20.28162254,1.945504303,-7.024891663,-1.581760712,7.458958159
20.29170492,2.149080963,-6.909032593,-1.535656586,7.396723701
20.30178692,1.54448822,-6.873855743,-1.841620331,7.281957298
20.31186892,1.186133423,-6.411018219,-1.861229553,6.780283368
20.32195092,0.7988887024,-5.237159271,-1.535656586,5.515822834
20.33203292,0.1148112488,-3.963607635,-1.432670746,4.216149022
20.34211492,0.4544549561,-2.580932922,-1.817819824,3.189390689
20.35219692,0.8921447754,-1.23328537,-2.409090271,2.849672093
20.36227892,1.787133636,-0.1531315613,-2.803819427,3.32846801
20.37235992,2.367476807,0.1883084106,-2.647843781,3.556892348
20.38244192,3.117716675,-0.07334747314,-1.854044495,3.628087389
20.39252392,3.844455414,-0.5843847656,-1.063089294,4.031315149
20.40260592,4.415667572,-1.013542328,-0.383203125,4.546672717
20.41268792,4.493056641,-2.102527771,0.833915863,5.030268052
20.42276992,3.951632538,-4.045487366,2.151625671,6.050690933
20.43285192,2.779420166,-6.798113251,3.969744873,8.348556437
20.44293392,1.268312531,-10.69630692,7.467820587,13.10678994
20.45301592,0.09819580078,-16.29720978,10.97712296,19.64957804
20.46309792,-2.398911438,-22.80627411,19.31942505,29.98534807
20.47317992,-7.948321381,-30.88123215,29.01566162,43.11304827
20.48326192,-11.27500351,-34.39098358,16.56185944,39.8015156
20.49334392,-9.325008545,-25.7539444,6.458619232,28.14134323
20.50342592,-6.10430603,-13.08159668,3.765120392,14.91867472
20.51350792,-3.939358063,-5.428311768,3.209026794,7.435251412
20.52358992,-1.879641266,-1.059646454,1.608105927,2.691079071
20.53367192,-0.04999603271,0.7246430969,-3.305426331,3.384294675
20.54375392,1.797761536,-0.6658154297,-8.130043488,8.353015254
20.55383592,5.097948761,-5.457950134,-12.09889023,14.21834892
20.56391792,10.33136581,-11.50956573,-12.30785568,19.76589321
20.57399992,12.97531769,-15.59397217,-9.135652313,22.24839276
20.58408192,12.60334122,-17.18127136,-0.2420466614,21.30959601
20.59416392,6.267317047,-19.20206909,27.31864059,33.97509153
20.60424592,-1.243164825,-17.82478317,20.69237,27.3393952
20.61432792,-0.9596543884,-12.62654297,-4.665647736,13.49513959
20.62440992,-1.684596863,-6.677314453,-10.00758911,12.14809593
20.63449192,-1.676513672,-3.023712158,-6.364614716,7.243055556
20.64457392,-0.2303709412,-2.431992645,-3.847000122,4.557089964
20.65465592,2.857258301,-4.467310181,-4.861290894,7.193951237
20.66473792,5.861810303,-7.225025482,-6.204447784,11.18288807
20.67481992,5.755231934,-8.889863434,-6.316864014,12.33106392
20.68490192,4.157753906,-9.80760498,-5.384902039,11.93621393
20.69498392,1.666035461,-10.91575058,-3.430865479,11.56287693
20.70506592,-1.035845947,-12.67878433,-1.049018555,12.76420734
20.71514792,-3.01996994,-14.24033707,0.6677613831,14.57234791
20.72522892,-3.470233612,-14.42235855,0.9490264893,14.8643062
20.73531092,-2.801723785,-12.7840155,1.241817627,13.14620932
20.74539292,-1.537602539,-10.58433975,1.547332306,10.80678985
20.75547492,-0.1850152588,-8.620124359,1.008153534,8.680849507
20.76555692,0.8408015442,-7.354356537,-0.1824705505,7.404512328
20.77563892,2.100731506,-6.786287842,-1.002165985,7.174337056
20.78572092,3.415148163,-7.165898438,-1.91421936,8.165633665
20.79580292,3.817810822,-8.315657501,-1.39120697,9.255338783
20.80588492,3.822900238,-9.593250732,-0.08128097534,10.32722772
20.81596692,3.220253448,-10.35067566,0.3324586487,10.84513935
20.82604892,2.339634705,-10.22778122,0.3203338623,10.49685729
20.83613092,0.9822573853,-9.510023804,0.4179309082,9.569746525
20.84621292,-0.8943901062,-8.432714081,0.22348526,8.482956212
20.85629492,-2.202370148,-7.498656464,0.02933898926,7.815442649
20.86637692,-2.607278137,-7.077731781,-0.3112028503,7.549108137
20.87645892,-2.150278473,-7.087611237,-0.8690927124,7.457429362
20.88654092,-1.257385254,-7.506889343,-1.443298645,7.74709728
20.89662292,-0.4493655396,-7.990234222,-1.731449432,8.188021095
20.90670492,-0.02514770508,-8.65155899,-1.221759338,8.737436767
20.91678692,-0.06661148071,-9.618697815,0.02065704346,9.618950642
20.92686892,-0.3439846802,-10.57820251,1.438807983,10.68114518
20.93695092,-0.4204756165,-11.16707794,2.594554596,11.47223357
20.94703292,-0.5158273315,-11.41945312,2.684068451,11.74198497
20.95711492,-0.7273374939,-11.6400943,1.567240906,11.76762759
20.96719692,-1.142424316,-12.17612961,0.3965254211,12.23603277
20.97727892,-2.284998322,-12.53298752,0.1919009399,12.74102898
20.98736092,-3.480861511,-12.18106934,0.4297563171,12.67594326
20.99744292,-4.00641861,-12.04844513,0.8387059021,12.72477299
21.00752492,-3.532204742,-12.32312393,1.949246521,12.96670412
21.01760692,-2.660267944,-12.84883072,3.58160202,13.60137307
21.02768892,-2.654430084,-13.62032639,4.43812088,14.5690153
21.03777092,-3.502416687,-14.07702667,3.301684113,14.87718793
21.04785292,-4.171225891,-13.33187622,2.338287506,14.16353196
21.05793492,-4.394711151,-11.96911011,3.775448914,13.29763503
21.06801692,-4.281845856,-12.0740419,6.118676147,14.19700284
21.07809892,-2.905458069,-13.76283005,5.747298431,15.19501947
21.08817992,-0.655486908,-15.2034343,2.4525,15.41391688
21.09826192,1.523082733,-16.63041687,-2.98838562,16.96528794
21.10834392,4.046684875,-17.47076935,-8.182135162,19.71169135
21.11842592,6.603218536,-17.88166489,-8.770262146,20.98270555
21.12850792,8.561147003,-17.69350616,-4.940176849,20.26718396
21.13858992,8.557105408,-15.97358276,0.8870553589,18.14293985
21.14867192,6.777456207,-14.12911835,5.140610046,16.49217298
21.15875392,6.425388336,-13.01992493,4.680915985,15.25500032
21.16883592,6.500681763,-12.43868362,2.525847473,14.26042142
21.17891792,5.150938568,-12.02015396,0.2959346008,13.0806669
21.18899992,2.049537964,-11.03834564,-1.304387512,11.30252658
21.19908192,-0.9500743103,-9.323811035,-1.305734711,9.462612565
21.20916392,-2.577190704,-8.495583344,-1.231788483,8.962932061
21.21924592,-2.371069336,-8.144712982,-1.277443542,8.578471971
21.22932792,-0.509690094,-7.745792542,-1.466949463,7.899938406
21.23940992,1.665436707,-7.168892212,-1.561253357,7.523576743
21.24949192,2.682122498,-6.625671844,-1.179846497,7.244677097
21.25957392,3.500171356,-6.52088974,-1.231638794,7.502675299
21.26965592,3.240162048,-6.299949188,-1.560953979,7.254280612
21.27973792,2.624642029,-6.342460785,-1.486259308,7.023141841
21.28981992,2.125879211,-6.116131439,-1.163680115,6.578797581
21.29990204,1.181044006,-5.318140869,-0.9601034546,5.531662127
21.30998404,0.4291575623,-4.229454803,-1.093176727,4.389475994
21.32006604,0.7412585449,-3.037633209,-1.492546234,3.464732891
21.33014804,1.284029846,-1.704056396,-1.902693329,2.858807925
21.34023004,1.631607056,-0.7800279236,-1.953138428,2.661829233
21.35031204,2.221380615,-0.4810995483,-1.57966507,2.767910827
21.36039404,2.592309265,-0.5728587341,-1.065634003,2.860735969
21.37047604,2.797831879,-1.16772171,-0.3303630066,3.049684726
21.38055804,2.880460052,-1.840722198,0.3005749512,3.431567226
21.39064004,2.799628143,-2.559078369,0.9794132996,3.917403509
21.40072204,2.295177155,-3.752995605,2.105371857,4.87702828
21.41080404,1.36665802,-5.612279205,3.614084473,6.813738959
21.42088604,-0.07963439941,-8.424481201,6.384822693,10.57091226
21.43096804,-1.593885498,-12.82697617,10.1378183,16.42702494
21.44105004,-4.488266602,-19.75561798,17.98794388,27.09234401
21.45113204,-10.98730179,-28.60701141,26.13160904,40.27335215
21.46121404,-15.07140884,-34.12034637,15.73587708,40.48411082
