Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
10.0047477,-6.598419666,-23.64034843,-0.2992752194,24.54576912
10.00972216,-4.211400986,-24.93082237,-2.614468336,25.41883646
10.01472824,-1.089361787,-24.29875374,-4.529829502,24.74137219
10.019732,2.468421936,-20.6523838,-4.510675907,21.28286308
10.02473685,2.595314741,-16.59421158,-2.020706177,16.91705559
10.02974185,0.316034615,-11.84172153,2.882618904,12.19162575
10.03474608,-2.243366957,-7.611167431,6.083666325,9.998677958
10.03975131,-4.367023945,-4.237737179,3.801992416,7.175267303
10.04472578,-5.693411827,-2.597708941,-0.7900865674,6.30771486
10.0497307,-6.974309444,-1.431732655,-4.661510944,8.510025553
10.0547357,-7.005434036,-0.9504981041,-5.171475887,8.759207472
10.0597397,-5.822698593,-1.194706678,-1.043871999,6.034965758
10.06474516,-4.249708176,-2.025494576,2.837129116,5.496539773
10.06975016,-2.930502892,-3.27287364,5.458779812,7.006984094
10.07472554,-1.180341482,-4.812345505,7.721300602,9.174440487
10.07972978,-0.7086837292,-6.658275127,9.555258751,11.66781171
10.08473439,-1.053448796,-7.960720539,11.19768143,13.77936483
10.08973839,-1.984793186,-9.167398453,11.89918232,15.15160514
10.09474424,-3.021482468,-10.63743782,11.24317074,15.77001357
10.09974885,-3.768473387,-11.50892735,9.99100399,15.69958474
10.10472339,-3.385401249,-12.40435886,9.279925346,15.85705127
10.10972862,-2.142810583,-13.5080862,7.702147007,15.69659513
10.11473293,-0.5219359994,-14.89193439,4.745307922,15.63841662
10.11973878,0.8236053586,-15.71793461,1.692700624,15.83025677
10.12474208,2.157175779,-16.09142876,-2.616862535,16.4449219
10.12974801,3.184288263,-15.88552856,-6.938396454,17.6247285
10.13472247,2.949656487,-14.73152351,-9.141061783,17.5862807
10.13972678,1.889025092,-13.44823074,-8.307879448,15.91993049
10.14473201,0.8355764151,-12.24873543,-6.330269337,13.81311034
10.14973593,0.08379705995,-11.26711273,-4.580107689,12.16273973
10.15474239,-0.5937620401,-10.38125896,-2.683900118,10.7390135
10.15974793,-1.357512355,-9.825803757,-1.259350061,9.998761015
10.16475254,-2.164358377,-9.440337181,-0.4213795066,9.694430049
10.16972554,-2.863465309,-9.126696587,-0.08379705995,9.565722456
10.17473047,-3.907337189,-8.410830498,-0.2968810201,9.278873418
10.17973593,-4.663905144,-7.785943985,-0.6392518282,9.098438208
10.18474062,-5.288791656,-7.24724865,-1.034295082,9.031262176
10.18974516,-5.588066578,-6.873753071,-1.446097851,8.975865883
10.19475039,-5.698200226,-6.514622688,-1.556231141,8.793841592
10.19972401,-5.530605793,-6.466738701,-1.482010841,8.637283485
10.20472947,-5.02064085,-6.517016888,-1.254561663,8.321794796
10.20973439,-4.491522312,-6.588842869,-1.070208192,8.045617975
10.21473939,-3.995922565,-6.622362137,-1.52510643,7.883465421
10.21974485,-3.608062029,-6.617573261,-1.716642618,7.730281324
10.22474862,-2.997540474,-6.68700552,-1.702277422,7.523233357
10.22972301,-2.214636564,-6.87854147,-1.814804912,7.450668744
10.23472801,-1.316810966,-7.141903877,-1.917755604,7.511229504
10.23973539,-0.7110779285,-7.412448406,-1.726219416,7.643942482
10.24473847,-0.2681505978,-7.678205013,-1.479616642,7.824065591
10.2497427,0.08619125932,-7.876923561,-1.197100878,7.967835605
10.25474739,0.2585737705,-8.190564156,-1.096544385,8.267684753
10.2597227,0.3447650373,-8.422801971,-1.094150186,8.500565899
10.26472731,0.4381389022,-8.647856712,-1.089361787,8.727204622
10.26973285,0.4501099288,-8.968679428,-1.015141487,9.037163375
10.27473754,0.4477157295,-9.217676163,-0.988805294,9.281365154
10.27974185,0.3854664862,-9.346963882,-0.9959878922,9.407779234
10.28474731,0.2729389966,-9.435548782,-1.019929886,9.494436976
10.28975131,0.1101332754,-9.423578262,-0.9552865028,9.472514392
10.29472585,-0.04070143029,-9.399636269,-0.787692368,9.43267077
10.2997307,-0.1723825186,-9.354146004,-0.6488286853,9.378205684
10.30473531,-0.356736064,-9.301473618,-0.423773706,9.317953436
10.30974124,-0.7469909191,-9.057265282,-0.05506663769,9.088183655
10.31474493,-0.9792284966,-8.825027466,0.1867477298,8.881152681
10.31975101,-1.158793569,-8.549694061,0.356736064,8.63523779
10.32472554,-1.393425345,-8.281543732,0.3734954596,8.406253603
10.32972916,-1.623268723,-7.960720539,0.2537853718,8.128498008
10.33473447,-1.707065821,-7.790732384,0.04548983276,7.975691451
10.33973939,-1.690306425,-7.781155586,-0.3016694188,7.968345029
10.34474431,-1.702277422,-7.790732384,-0.6464344859,8.000696035
10.34974893,-1.704671621,-7.912836552,-1.18752408,8.181020784
10.35472301,-1.625662923,-8.090007782,-1.618480325,8.408952635
10.35972762,-1.522712231,-8.334216118,-2.08295536,8.724477857
10.36473285,-1.429338455,-8.609549522,-2.300827742,9.025583621
10.36973785,-1.132457376,-9.057265282,-2.647987127,9.504122785
10.37474247,-0.7996633649,-9.476250648,-3.069366693,9.992987529
10.37974678,-0.4381389022,-9.873687744,-3.524264812,10.49295563
10.38475255,-0.1460463107,-10.23760605,-3.821146011,10.92845204
10.38972739,0.1197100878,-10.58476543,-3.859453201,11.26707455
10.39473201,0.282515794,-10.77869606,-3.682282209,11.39382755
10.39973931,0.4764461517,-10.88404083,-3.359065056,11.40055542
10.40474239,0.6177040339,-10.9199543,-2.8969841,11.31456924
