Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
40.00146131,-4.759922504,-15.68375587,0.0466600433,16.39021775
40.00376683,-4.785645485,-15.39841175,-1.210768223,16.17032612
40.00609814,-4.846064091,-15.18664742,-2.782254457,16.18207455
40.00841657,-4.840082169,-14.95334721,-4.262215137,16.28482318
40.01072204,-4.737190723,-14.6261282,-5.089533806,16.19468914
40.01305334,-4.56730032,-14.30130291,-5.356931686,15.94001927
40.01537178,-4.256233215,-13.99561977,-5.2707901,15.54908751
40.01767725,-3.888935089,-13.69352531,-5.150550842,15.13818436
40.0200086,-3.554538012,-13.40219975,-4.901697159,14.7064725
40.02232699,-3.237488985,-13.04866028,-4.53858614,14.18970169
40.02463251,-2.779861689,-12.67597771,-3.908077478,13.55290048
40.02696381,-2.277967215,-12.35115242,-3.256631613,12.97481214
40.0292822,-1.768295884,-11.98265743,-2.592623234,12.38679316
40.03158772,-1.315454245,-11.61535931,-1.94177556,11.84978835
40.03391902,-0.9990034699,-11.2755785,-1.498505235,11.41850237
40.03623746,-0.6927221417,-10.91246796,-0.9924231768,10.97937724
40.03854293,-0.3930211067,-10.63011456,-0.5246263742,10.65030675
40.04087428,-0.1866401732,-10.40877819,-0.2428714931,10.41328404
40.04319267,0.02452643216,-10.15394306,-0.02333002165,10.15399948
40.04549814,0.209371984,-9.909874916,-0.1190429255,9.912801254
40.04782949,0.394815743,-9.805189133,-0.3708875179,9.820141086
40.05014788,0.5270192027,-9.807581902,-0.8321040869,9.856916821
40.0524534,0.6544370055,-9.767501831,-1.427916884,9.892993806
40.0547847,0.7645068169,-9.631111145,-1.828714728,9.832953276
40.05710314,1.039083242,-9.466006279,-2.108675003,9.75353675
40.0594086,1.365703583,-9.248259544,-2.560918331,9.692974444
40.06173991,1.564307809,-9.09990406,-2.841476917,9.660709286
40.06405834,1.709671736,-8.924032211,-3.079562664,9.594010348
40.06636381,1.761117458,-8.621339798,-3.396013498,9.431963862
40.06869517,1.788634896,-8.29890728,-3.689732552,9.256630226
40.07101355,1.772483349,-7.983054638,-3.939782381,9.077044882
40.07331907,1.768894196,-7.590033531,-4.16710043,8.837551792
40.07565038,1.782652855,-7.109674454,-4.43748951,8.568350786
40.07796876,1.633101463,-6.614359856,-4.695316315,8.274223346
40.08027428,1.674975872,-6.301498413,-4.945366383,8.18358571
40.08260558,2.016551256,-6.159125328,-5.162514687,8.285702243
40.08492402,2.167897224,-5.674578667,-4.783252239,7.731760692
40.08722949,2.14696002,-5.218147755,-4.247858524,7.062776038
40.08956084,2.020140409,-4.816751957,-4.003790379,6.581216003
40.09187923,1.881356835,-4.657031059,-3.863212109,6.336548716
40.0941847,1.698904037,-4.636692047,-3.793222189,6.226854956
40.09651605,1.498505235,-4.66540575,-3.704687595,6.142982902
40.09883444,1.300499082,-4.616951466,-3.525225878,5.952709987
40.10113996,1.0863415,-4.424329281,-2.989233732,5.448884817
40.10347126,0.8398807645,-4.150351048,-2.310868502,4.823994895
40.1057897,0.566500783,-3.824328899,-2.034497499,4.368706301
40.10809517,0.4061816335,-3.511467218,-2.100300074,4.111769199
40.11042647,0.3774677813,-3.296711445,-2.19242382,3.977123393
40.11274491,0.3876372576,-3.128017426,-2.231905222,3.862144039
40.11505038,0.3595215976,-2.932404041,-2.281556368,3.732793686
40.11738173,0.3912265003,-2.709871531,-2.249253273,3.543388516
40.11970012,0.4019941986,-2.541775942,-2.303091764,3.453470132
40.12200564,0.3834498227,-2.383849621,-2.352144718,3.370809629
40.12433694,0.2787638307,-2.175673962,-2.435893536,3.277932851
40.12665538,0.08673982322,-1.901695848,-2.563311338,3.192888334
40.12896084,-0.102293171,-1.607976794,-2.55792737,3.023085459
40.13129215,-0.2871387303,-1.285543919,-2.495115757,2.821466721
40.13361058,-0.4558327198,-1.054636598,-2.52682066,2.775763763
40.13591605,-0.5084748268,-0.8590233326,-2.514258385,2.70517337
40.13824741,-0.6771687865,-0.7992027402,-1.872383714,2.145484411
40.14056579,-0.9918249846,-0.3972085714,-1.448854089,1.800185996
40.14287131,-1.26640141,-0.0,-1.16769743,1.722582311
40.14520262,-1.452443361,0.1543370634,-1.070189953,1.81072311
40.147521,-1.600200176,0.1651047617,-1.166501045,1.987114711
40.14982652,-1.749751568,0.0747757107,-1.249053478,2.151129133
40.15215782,-1.86580348,-0.05742774159,-1.249053478,2.24603098
40.15447626,-1.97826612,-0.1274178028,-1.20179522,2.318207042
40.15679465,-2.210369825,-0.171086818,-1.313061476,2.576652073
40.15911308,-2.360519648,-0.1076770201,-1.166501045,2.635217645
40.16143147,-2.340778828,-0.1633101404,-0.4941178858,2.397929984
40.16374985,-2.380260229,-0.3128615618,-0.4313062727,2.439169165
40.16606829,-2.446661234,-0.4827519655,-0.5449653864,2.552682496
40.16838668,-2.53280282,-0.6197410822,-0.6496513486,2.687232035
40.17070512,-2.580659151,-0.7603194118,-0.7160521746,2.783993171
40.1730235,-2.624328136,-0.8961120844,-0.7962117195,2.885146121
40.17534194,-2.660818815,-0.993021369,-0.7956135273,2.949415042
40.17766032,-2.687737942,-1.041476011,-0.8099704385,2.994104146
40.17997871,-2.723630428,-1.119242787,-0.8620143533,3.068213792
40.18229715,-2.715853691,-1.224527001,-0.8709874153,3.103859972
40.18461553,-2.746960402,-1.321436286,-0.87517488,3.171421822
40.18693397,-2.762513638,-1.441675663,-0.8985049129,3.243026579
40.18925235,-2.778665304,-1.566700578,-0.8356932998,3.297561958
40.19157079,-2.745165825,-1.633101463,-0.6915257573,3.268204961
40.19388918,-2.696112871,-1.742573142,-0.4953143001,3.248218285
40.19620762,-2.603390932,-1.869392633,-0.2596212626,3.215536715
40.198526,-2.548356056,-2.030908108,-0.06699903309,3.259324347
40.20084438,-2.435893536,-2.205584288,0.1740778536,3.290665961
40.20316282,-2.321038008,-2.331805706,0.5048855543,3.328579984
40.20548121,-2.224726915,-2.45383954,0.8542376757,3.420593566
40.20779965,-2.024926186,-2.592025042,1.310668588,3.540730436
