relative_time,AccX,AccY,AccZ
0,0.261962890625,0.28955078125,10.033477783203125
58,0.1273040771484375,0.0124969482421875,9.739151000976562
115,0.03857421875,0.273529052734375,9.625579833984375
173,,,9.523208618164062
174,0.176422119140625,0.4384765625,
232,0.51702880859375,0.90771484375,9.691162109375
291,0.170074462890625,0.3343963623046875,9.969497680664062
349,0.377593994140625,0.6851043701171875,9.926300048828125
408,0.29840087890625,0.8052215576171875,9.65435791015625
467,0.827545166015625,0.1277923583984375,9.480010986328125
526,2.41339111328125,-1.782745361328125,9.454421997070312
584,4.2241973876953125,0.1374053955078125,6.67108154296875
643,2.543304443359375,1.4362030029296875,5.4473724365234375
702,2.433990478515625,-1.4336395263671875,6.0392303466796875
760,4.01666259765625,-2.786865234375,6.0888214111328125
819,6.434234619140625,-4.830352783203125,6.4151458740234375
878,11.202865600585938,-2.5082244873046875,7.8307952880859375
936,13.473114013671875,-0.4535369873046875,7.24853515625
995,10.588180541992188,-2.80609130859375,7.1925506591796875
1054,8.858169555664062,-1.9268951416015625,4.42041015625
1112,,,4.75152587890625
1113,7.22003173828125,-2.876556396484375,
1171,13.021591186523438,-2.16229248046875,1.4531097412109375
1230,6.7241668701171875,-5.41168212890625,3.0655364990234375
1289,8.409820556640625,-2.8909759521484375,2.823974609375
1348,8.381301879882812,-2.1703033447265625,3.6381988525390625
1406,,,2.0433807373046875
1407,8.872421264648438,-2.288818359375,
1466,8.336944580078125,-4.67181396484375,1.3379364013671875
1524,8.148406982421875,-5.7095794677734375,-0.8167572021484375
1583,,,-1.53497314453125
1584,6.288482666015625,-6.5038909912109375,
1641,3.93743896484375,-7.0275726318359375,-1.3094329833984375
1700,2.9124298095703125,-5.3236083984375,-0.7303619384765625
1759,1.294891357421875,-7.0435943603515625,-1.1126708984375
1819,-4.5621185302734375,-26.205184936523438,5.4217681884765625
1876,-0.3305511474609375,-5.8520965576171875,1.8258209228515625
1935,-1.1353607177734375,-7.6729736328125,-3.7072601318359375
1993,-3.1869659423828125,-11.74871826171875,0.4133453369140625
2052,-1.244659423828125,-8.75555419921875,-0.7559661865234375
2110,-0.978515625,-9.979095458984375,1.7378387451171875
2170,-1.648651123046875,-9.753280639648438,0.221405029296875
2228,-2.218994140625,-9.418563842773438,-0.1385040283203125
2286,,,0.130218505859375
2287,-1.9306640625,-9.551498413085938,
2345,-1.4981689453125,-9.790115356445312,1.5139007568359375
2405,-1.02606201171875,-9.492233276367188,1.86260986328125
2462,,,1.1635894775390625
2463,-1.0102081298828125,-9.535476684570312,
2522,-1.2557525634765625,-9.564300537109375,1.936187744140625
2580,,,2.8063812255859375
2581,-1.4949798583984375,-9.543487548828125,
2640,-1.4236907958984375,-9.269638061523438,2.3169097900390625
2697,-1.4205322265625,-9.508255004882812,2.110565185546875
2757,-1.2969512939453125,-9.484237670898438,2.1249542236328125
2815,-1.098907470703125,-9.509857177734375,2.0897674560546875
2873,,,2.0641632080078125
2874,-0.9484100341796875,-9.684417724609375,
2932,-0.8264312744140625,-9.356109619140625,2.2833251953125
2992,-0.956329345703125,-9.213592529296875,2.7903900146484375
3049,-1.064056396484375,-9.407363891601562,2.803192138671875
3109,-0.8897857666015625,-9.561111450195312,2.2433319091796875
3167,-0.6790924072265625,-9.463424682617188,1.881805419921875
3227,-0.86602783203125,-9.524261474609375,1.4867095947265625
3284,,,1.6786651611328125
3285,-1.2842864990234375,-9.465011596679688,
