relative_time,AccX,AccY,AccZ
0,-0.6106171607971191,4.163057327270508,9.473836898803711
66,0.013972560875117779,4.043835639953613,8.77806282043457
132,0.4500811696052551,3.779391050338745,9.162198066711426
198,1.1428290605545044,3.622331380844116,10.22905445098877
264,,4.202781677246094,8.696582794189453
265,1.1389504671096802,,
330,1.5969229936599731,3.73099946975708,9.027682304382324
397,1.5745131969451904,4.447746753692627,8.014618873596191
462,1.7706654071807861,3.930771827697754,9.186647415161133
528,0.8629660606384277,4.727801322937012,8.85411262512207
594,0.8566645383834839,4.5865912437438965,8.794812202453613
660,1.0018202066421509,4.436178207397461,8.784134864807129
726,0.8235766887664795,4.494117736816406,8.75338363647461
792,0.7248685359954834,4.8755998611450195,8.35009479522705
858,0.9568954110145569,5.227260589599609,7.685282230377197
924,2.0700364112854004,5.060288906097412,8.106939315795898
990,1.7602458000183105,4.348291397094727,9.033275604248047
1056,0.31395643949508667,4.076971054077148,8.755499839782715
1122,-1.0279744863510132,5.610630035400391,9.121659278869629
1213,-0.7648037672042847,5.744657039642334,4.55761194229126
1235,-3.2915198802948,7.204890251159668,5.529447078704834
1296,-2.72587513923645,7.7977519035339355,6.349633693695068
1362,,,7.252697944641113
1363,-2.237898588180542,6.739677906036377,
1434,-7.069119930267334,7.188149929046631,6.209237575531006
1495,-3.6866490840911865,6.210309982299805,3.916933059692383
1561,-1.3901405334472656,8.999918937683105,2.9189534187316895
1626,-2.3242335319519043,10.7482328414917,2.1392481327056885
1692,-5.686114311218262,9.905577659606934,4.78276252746582
1760,,,1.0646440982818604
1761,-6.173669338226318,10.45919418334961,
1824,-7.394003391265869,9.012138366699219,0.03955221176147461
1891,-8.010041236877441,8.223306655883789,-1.2928688526153564
1956,,,-6.844563007354736
1957,-1.048708200454712,9.337453842163086,
2022,-6.435901165008545,5.741822242736816,-1.1127963066101074
2068,-8.04345417022705,5.963448524475098,-0.5958976149559021
2078,-7.4390435218811035,6.84356689453125,-1.409495234489441
2089,-6.410331726074219,7.930515766143799,-2.620654821395874
2098,-5.18595552444458,8.357497215270996,-3.667428493499756
2108,-4.487250804901123,5.759912967681885,-3.902395486831665
2118,-6.532742023468018,9.575254440307617,-3.775742292404175
2128,-8.447681427001953,9.724700927734375,-2.0951945781707764
2138,-8.417649269104004,7.865527153015137,1.6671018600463867
2148,-8.782114028930664,8.177674293518066,3.8629486560821533
2158,-8.832995414733887,8.891806602478027,3.5859971046447754
2168,-8.049421310424805,8.770381927490234,3.236204147338867
2181,,,2.8241333961486816
2182,-6.925899028778076,8.671741485595703,
2190,-6.0143303871154785,8.675025939941406,2.5632898807525635
2198,,8.681854248046875,2.190694570541382
2199,-5.114675998687744,,
2209,-3.663004159927368,8.079482078552246,0.8898481726646423
2218,-1.3635457754135132,7.432167053222656,-0.24446715414524078
2228,0.2103354036808014,6.863333702087402,-2.097809076309204
2238,0.655647337436676,5.973083019256592,-2.4745798110961914
2249,0.6471335291862488,5.6262593269348145,-2.0363738536834717
2258,-0.7626969218254089,5.900184631347656,-1.0934606790542603
2268,,,-0.1583908051252365
2269,-2.927572250366211,6.5122761726379395,
2278,-5.215653419494629,6.906591892242432,0.423630028963089
2289,-5.875926494598389,6.702749729156494,0.8801181316375732
2298,-5.841325283050537,6.275547504425049,1.5425362586975098
2308,-6.34812068939209,6.046517848968506,1.9060144424438477
2318,-6.44130277633667,6.023735046386719,1.491175889968872
2328,-6.037295341491699,5.9459710121154785,1.0102381706237793
2339,-5.49045991897583,5.532808780670166,0.7432751655578613
2348,-5.228869438171387,5.1595330238342285,0.48638686537742615
2358,-5.2005414962768555,5.379809379577637,0.4981663227081299
2368,-5.973811149597168,6.125009536743164,-0.6789381504058838
2378,-8.552404403686523,7.749820232391357,-2.432183265686035
2388,-8.89216136932373,8.830649375915527,-2.7729737758636475
2398,,,-3.6719295978546143
2399,-8.014484405517578,8.448573112487793,
2408,-6.7739338874816895,8.188361167907715,-4.301892280578613
2418,,7.920009613037109,-3.770359992980957
2419,-5.2845778465271,,
2428,,,-2.27231764793396
2429,-4.431839942932129,8.269754409790039,
2439,-4.890089988708496,8.778570175170898,-1.6562033891677856
2448,-5.8129401206970215,9.535338401794434,-2.143078565597534
2458,-6.942438125610352,10.225396156311035,-2.4753172397613525
2468,-8.514959335327148,10.786032676696777,-2.1409237384796143
2478,-9.877470970153809,10.857752799987793,-1.1981351375579834
2489,-9.94274616241455,9.120251655578613,-1.6786513328552246
2498,-8.1445951461792,7.535031795501709,-2.791217803955078
2508,-5.294815540313721,8.10168170928955,-1.8817946910858154
2518,-3.938241481781006,9.569289207458496,-0.8854619860649109
2528,-5.523767948150635,9.308953285217285,-1.4766286611557007
2538,,,-1.3902363777160645
2539,-6.352123737335205,8.812893867492676,
2548,-5.038453578948975,8.025775909423828,-2.5258827209472656
2558,-5.128360748291016,8.1924409866333,-0.24328920245170593
2568,,,-1.6749643087387085
2569,-5.420424938201904,6.809627056121826,
2578,-2.499690294265747,5.023102283477783,-4.752365589141846
2588,-2.5142853260040283,7.639466762542725,3.284442663192749
2598,-6.609337329864502,8.580636978149414,2.313019037246704
2609,,,-0.8206270337104797
2610,-7.1673970222473145,8.908670425415039,
2618,-8.362448692321777,11.082596778869629,-0.038144420832395554
2628,-10.940093994140625,12.357097625732422,-0.7777324914932251
2638,-11.443861961364746,11.700770378112793,0.0012545617064461112
2648,-9.180307388305664,10.459214210510254,1.3981467485427856
2658,-8.04766845703125,10.38222599029541,1.2733322381973267
2670,-6.700384140014648,11.0156831741333,0.1962958127260208
2678,-4.81809139251709,12.467000961303711,1.3473131656646729
2688,-2.4777402877807617,12.488386154174805,0.09478165209293365
2698,-4.601301193237305,10.351158142089844,-3.0328309535980225
2708,-7.145925998687744,10.21439266204834,-4.825082302093506
2718,-9.463215827941895,9.847552299499512,-5.260233402252197
2728,-12.066048622131348,8.059304237365723,-3.1724131107330322
2738,-5.655219078063965,5.684256553649902,1.1245278120040894
2748,2.1175179481506348,5.848067283630371,1.8741236925125122
2758,3.7320337295532227,8.450372695922852,2.3448522090911865
2768,2.46825909614563,10.4832124710083,1.7007163763046265
2778,1.9877619743347168,9.905224800109863,1.553875207901001
2788,4.387020587921143,8.401244163513184,0.6841670274734497
2798,2.039199113845825,7.493410587310791,-3.2732951641082764
2808,-2.451078414916992,7.1702799797058105,-0.8199566006660461
2818,-2.998124837875366,8.302756309509277,3.010986328125
2828,-2.016319990158081,9.76489543914795,2.986555814743042
2838,0.3868167996406555,8.689228057861328,1.2392771244049072
2848,0.9947908520698547,6.335891246795654,0.35552939772605896
2858,1.1250065565109253,5.822421073913574,-0.6135668158531189
2868,0.38050568103790283,7.211096286773682,-1.8932485580444336
2878,,,-2.947300434112549
2879,-1.1205151081085205,8.506157875061035,
2888,-3.4876718521118164,8.57043743133545,-2.3078763484954834
2898,-5.854301929473877,8.181513786315918,-1.3437217473983765
2908,,8.3170166015625,-2.657219171524048
2909,-6.501023769378662,,
2918,,,-3.0477612018585205
2919,-7.802196025848389,6.641094207763672,
2928,-10.465706825256348,3.846160650253296,0.00703895278275013
2938,-7.064389228820801,7.477628231048584,4.61277437210083
2948,-5.3474016189575195,9.676271438598633,4.13617467880249
2958,-4.681028366088867,10.619577407836914,1.5284391641616821
2968,,,-0.10666647553443909
2969,-5.417072772979736,11.610729217529297,
2978,,,-0.17846378684043884
2979,-8.750941276550293,11.087212562561035,
2988,-12.095353126525879,10.10013198852539,0.182371124625206
2998,-13.827300071716309,9.62773609161377,-0.1901666522026062
3008,-9.404768943786621,10.287052154541016,-2.3555593490600586
3018,-6.594723224639893,8.800827026367188,-3.204409122467041
3028,-5.806408405303955,7.573309898376465,-1.1386823654174805
3038,-4.383419513702393,6.925324440002441,2.100433111190796
3048,,,3.0400614738464355
3049,-4.481869220733643,6.518223762512207,
3058,,,2.1232640743255615
3059,-5.2011542320251465,6.896114826202393,
3068,-5.577206611633301,7.457133769989014,1.3753443956375122
3078,-5.673779487609863,7.719806671142578,1.369234323501587
3088,-6.368624687194824,7.157791614532471,1.2896989583969116
3098,,8.417266845703125,0.03430412337183952
3099,-5.545919418334961,,
3108,-5.206641674041748,9.101960182189941,-0.7610880136489868
3118,-7.050895690917969,7.624593734741211,-0.530526340007782
3128,-8.37217903137207,6.761905670166016,-0.29286831617355347
3138,-9.111432075500488,5.857663631439209,0.7851927876472473
3148,-6.39441442489624,7.41765832901001,0.7594599723815918
3158,-5.109906196594238,8.233209609985352,1.0776206254959106
3168,-5.592835903167725,8.109142303466797,2.767850399017334
3178,-5.37300968170166,8.074445724487305,3.734102249145508
3189,-7.7860589027404785,6.680541038513184,3.768291473388672
3198,-2.6559741497039795,8.293964385986328,3.3445656299591064
3210,-3.623978614807129,8.093483924865723,2.7477965354919434
3218,-3.4831037521362305,8.383105278015137,0.8713457584381104
3229,-3.2203257083892822,8.856650352478027,0.908398449420929
3238,-4.289355754852295,8.963776588439941,1.7814680337905884
3248,-4.585652828216553,9.23111343383789,2.737290859222412
3258,-4.130600929260254,9.488527297973633,2.733048439025879
