"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.673739929E0,5.524561615E0,7.302713928E0,9.539355165E0
1.005600003E-2,-2.706821136E0,5.419330444E0,7.525899811E0,9.661013978E0
2.011200000E-2,-2.594404907E0,5.241799622E0,7.504793701E0,9.514690147E0
3.016700002E-2,-2.546654205E0,5.031486969E0,7.736661530E0,9.573778793E0
4.022299999E-2,-2.514920197E0,4.804858246E0,8.417146454E0,1.001298361E1
5.027900002E-2,-2.542911987E0,4.653373260E0,8.861272888E0,1.032678272E1
6.033399998E-2,-2.565814362E0,4.592000885E0,8.892857208E0,1.033212392E1
7.039000001E-2,-2.499502258E0,4.568350067E0,8.560398560E0,1.001986813E1
8.044599998E-2,-2.453697510E0,4.701123962E0,8.232879639E0,9.792931386E0
9.050200001E-2,-2.473755798E0,4.921615448E0,8.047864380E0,9.752429823E0
1.005570000E-1,-2.456840973E0,5.010979614E0,7.990234222E0,9.746272477E0
1.106130000E-1,-2.460583191E0,4.920417938E0,7.945626984E0,9.664262542E0
1.206690000E-1,-2.505789185E0,4.797673187E0,7.933651886E0,9.604138675E0
1.307240000E-1,-2.650538177E0,4.791386261E0,8.066575470E0,9.749480742E0
1.407800000E-1,-2.781066742E0,4.875062256E0,8.262068939E0,9.988110301E0
1.508360000E-1,-2.769091644E0,4.896168365E0,8.277935944E0,1.000822445E1
1.608920000E-1,-2.682122498E0,4.912634125E0,8.265661469E0,9.982430298E0
1.709470000E-1,-2.571352844E0,4.985083466E0,8.286168823E0,1.000617341E1
1.810030000E-1,-2.424807587E0,5.029391327E0,8.275840302E0,9.983185947E0
1.910590000E-1,-2.328557739E0,5.001698914E0,8.116870880E0,9.814416236E0
2.011150000E-1,-2.397264862E0,5.046156464E0,7.917485504E0,9.690054209E0
2.111700000E-1,-2.506986694E0,5.049299927E0,7.742798767E0,9.577648186E0
2.212260000E-1,-2.541415100E0,5.018014984E0,7.645201721E0,9.491489580E0
2.312820000E-1,-2.475851440E0,4.968917084E0,7.616012421E0,9.424628509E0
2.413370000E-1,-2.398312683E0,4.882696381E0,7.598798218E0,9.345285551E0
2.513930000E-1,-2.402354279E0,4.860243073E0,7.668403473E0,9.391362022E0
2.614490000E-1,-2.274969177E0,4.834496613E0,7.780819702E0,9.438696811E0
2.715050000E-1,-2.241139526E0,4.925207977E0,8.078101501E0,9.722967853E0
2.815600000E-1,-2.171683960E0,4.841981049E0,8.263865204E0,9.821021322E0
2.916160000E-1,-2.306703186E0,4.815486145E0,8.344098358E0,9.906248726E0
3.016720000E-1,-2.549049225E0,4.804858246E0,8.442892914E0,1.004324427E1
3.117280000E-1,-2.574645996E0,4.715793457E0,8.459208984E0,1.002126372E1
3.217830000E-1,-2.434088287E0,4.497696991E0,8.305628357E0,9.753846750E0
3.318390000E-1,-2.288441162E0,4.290976868E0,8.108338623E0,9.454871795E0
3.418950000E-1,-2.221829681E0,4.246070251E0,8.014483795E0,9.337964993E0
3.519500000E-1,-2.178120575E0,4.346212006E0,8.062234497E0,9.414530956E0
3.620060000E-1,-2.099983063E0,4.549189911E0,8.315807190E0,9.708640838E0
3.720620000E-1,-2.079775085E0,4.630171509E0,8.672814789E0,1.004896358E1
3.821180000E-1,-1.984573059E0,4.609963531E0,8.970545654E0,1.027915285E1
3.921730000E-1,-1.917063446E0,4.454137573E0,8.977131958E0,1.020310600E1
4.022290000E-1,-1.902843018E0,4.251159668E0,8.694519653E0,9.863459944E0
4.122850000E-1,-1.945953369E0,4.204756165E0,8.380472717E0,9.575961147E0
4.223410000E-1,-2.014061737E0,4.331392822E0,8.164621582E0,9.459305156E0
4.323960000E-1,-2.145488434E0,4.449048157E0,8.057743835E0,9.451157910E0
4.424522917E-1,-2.204016724E0,4.517605591E0,8.092920685E0,9.526899559E0
4.525082917E-1,-2.083068237E0,4.531227264E0,8.288114777E0,9.672850684E0
4.625632917E-1,-1.932182007E0,4.483925629E0,8.479416962E0,9.784652695E0
4.726192917E-1,-1.798060913E0,4.461921387E0,8.617879028E0,9.869630411E0
4.826752917E-1,-1.733245697E0,4.435426483E0,8.714278564E0,9.930548808E0
4.927312917E-1,-1.813179474E0,4.416865082E0,8.728948059E0,9.949414615E0
5.027862916E-1,-1.975741425E0,4.420457611E0,8.673114166E0,9.933121816E0
5.128422917E-1,-2.085463257E0,4.370910645E0,8.571475525E0,9.845009372E0
5.228982916E-1,-2.024989014E0,4.315076752E0,8.562045135E0,9.799443085E0
5.329532917E-1,-1.852697296E0,4.196672974E0,8.642278290E0,9.784351044E0
5.430092917E-1,-1.598675537E0,4.080963593E0,8.714128876E0,9.754284668E0
5.530652917E-1,-1.303190002E0,4.103117523E0,8.745563507E0,9.747756596E0
5.631212917E-1,-9.017248535E-1,4.233047333E0,8.781937866E0,9.790517357E0
5.731762917E-1,-4.893324280E-1,4.409081268E0,8.642427979E0,9.714474006E0
5.832322917E-1,-2.321672058E-1,4.498595123E0,8.234526215E0,9.386089797E0
5.932882917E-1,-2.366578674E-1,4.470004578E0,7.711364136E0,8.916394154E0
6.033442917E-1,-4.303550720E-1,4.404291229E0,7.548502808E0,8.750021792E0
6.133992916E-1,-3.794609070E-1,4.305496674E0,7.617808685E0,8.758555894E0
6.234552917E-1,-3.891906738E-2,3.912264404E0,7.654781799E0,8.596686097E0
6.335112917E-1,2.058219910E-1,3.287164307E0,7.674241333E0,8.351155124E0
6.435662917E-1,2.649490356E-1,2.628833313E0,7.480843506E0,7.933724355E0
6.536222917E-1,1.743873596E-1,2.262395325E0,7.322323151E0,7.665850238E0
6.636782917E-1,7.499404907E-2,2.168091431E0,7.302713928E0,7.618128069E0
6.737342917E-1,3.948788452E-1,2.260449371E0,7.417974243E0,7.764786059E0
6.837892917E-1,1.023721161E0,2.679727478E0,8.360115051E0,8.838578395E0
6.938452917E-1,1.512754211E0,2.730022888E0,9.426647186E0,9.929910747E0
7.039012917E-1,1.591939545E0,1.930685120E0,9.396260376E0,9.723760877E0
7.139572917E-1,1.492546234E0,1.347198486E-1,9.505682831E0,9.623089409E0
7.240122917E-1,2.968027954E0,-5.424719238E-1,1.067400330E1,1.109224108E1
7.340682917E-1,1.138981476E0,-7.619155884E-1,1.198168396E1,1.205979041E1
7.441242917E-1,-5.463638306E-1,-8.614585876E-1,1.159563675E1,1.164042164E1
7.541792917E-1,-1.559157715E0,-8.003855896E-1,1.118489090E1,1.132136804E1
7.642352917E-1,-1.850302277E0,-8.798703003E-1,1.115001343E1,1.133669219E1
7.742912917E-1,-1.499731293E0,-1.137035522E0,1.071771240E1,1.088170037E1
7.843472917E-1,-1.246757355E0,-1.254990234E0,1.004201752E1,1.019664259E1
7.944022916E-1,-1.187330933E0,-1.074914703E0,9.236692200E0,9.374522876E0
8.044582917E-1,-1.353784790E0,-7.045848083E-1,8.684490509E0,8.817570437E0
8.145142916E-1,-1.368603973E0,-8.505313110E-1,8.435109100E0,8.587639133E0
8.245702917E-1,-1.826651459E0,-7.798782349E-1,8.826844482E0,9.047543818E0
8.346252917E-1,-2.511028290E0,-6.718029785E-1,9.458081818E0,9.808766180E0
8.446812917E-1,-2.984044647E0,-7.701484680E-1,9.591753845E0,1.007469071E1
8.547372917E-1,-3.428320770E0,-1.028062134E0,9.553134155E0,1.020160121E1
8.647922917E-1,-3.481759644E0,-2.231559448E0,8.425978088E0,9.386139490E0
8.748482917E-1,-4.215833130E0,2.514770508E-2,9.055718536E0,9.988989919E0
8.849042917E-1,-5.115911407E0,2.415227509E0,1.211775101E1,1.337332281E1
8.949602917E-1,-3.041525116E0,4.965174866E-1,9.018895111E0,9.530890497E0
9.050152916E-1,-2.388283539E0,-1.183289337E0,8.817863159E0,9.211882685E0
9.150712917E-1,-2.254461823E0,-1.049317932E0,1.007854156E1,1.038078351E1
9.251272916E-1,-2.285746765E0,3.972738647E-1,1.018092865E1,1.044192382E1
9.351832917E-1,-3.180885315E0,3.167413330E0,3.895948334E0,5.943816283E0
9.452382917E-1,-2.891686707E0,4.124523010E0,6.098917236E0,7.910141182E0
9.552942917E-1,-7.634124756E-3,2.587519226E0,5.425317993E0,6.010772775E0
9.653502917E-1,9.990225220E-1,1.760189667E0,3.909869385E0,4.402657410E0
9.754052917E-1,9.852511597E-1,1.833088074E0,3.761228485E0,4.298577841E0
9.854612917E-1,1.729952545E0,1.791773987E0,4.245022430E0,4.921727874E0
9.955172917E-1,2.766397247E0,1.588047638E0,5.212460632E0,6.111022408E0
1.005573292E0,2.811902618E0,1.055305481E0,5.863905945E0,6.588312297E0
1.015628292E0,2.067350922E0,3.016227722E-1,6.247558136E0,6.587632260E0
1.025684292E0,1.615740051E0,-9.336085510E-1,6.104455719E0,6.383307956E0
1.035740292E0,1.541943512E0,-2.234553223E0,5.251978455E0,5.912198879E0
1.045795292E0,1.731449432E0,-2.990481262E0,4.349804535E0,5.555330306E0
1.055851292E0,1.780846710E0,-2.893932037E0,4.011058960E0,5.256886115E0
1.065907292E0,1.298549652E0,-2.406545563E0,3.738326111E0,4.631714030E0
1.075963292E0,9.720785522E-1,-2.307601318E0,3.509901123E0,4.311538757E0
1.086018292E0,7.527845764E-1,-2.866688690E0,3.355422363E0,4.476990943E0
1.096074292E0,9.241781616E-1,-4.103865967E0,3.045716400E0,5.193477596E0
1.106130292E0,1.117276611E0,-4.951553192E0,3.063679047E0,5.928938804E0
1.116186292E0,7.012916565E-1,-5.268743591E0,3.253184967E0,6.231747865E0
1.126241292E0,5.933660889E-1,-5.588179321E0,3.071163483E0,6.404051575E0
1.136297292E0,4.894821167E-1,-5.927673340E0,2.384840698E0,6.408148650E0
1.146353292E0,-8.250842285E-1,-6.249803467E0,1.759291534E0,6.544915130E0
1.156408292E0,-6.676116943E-1,-7.381450195E0,1.735640717E0,7.612093080E0
1.166464292E0,1.045725403E0,-9.022188263E0,2.299218750E0,9.369089045E0
1.176520292E0,2.736160126E0,-1.056517960E1,3.070714417E0,1.133749881E1
1.186576292E0,4.217629395E0,-1.183962936E1,3.574866028E0,1.306693875E1
1.196631292E0,5.921236725E0,-1.297591644E1,3.535647583E0,1.469476967E1
1.206687292E0,7.461383972E0,-1.406520126E1,3.083288269E0,1.621754617E1
1.216743292E0,9.139244843E0,-1.537617508E1,2.737058258E0,1.809541501E1
1.226799292E0,1.169098846E1,-1.632280655E1,3.228935394E0,2.033566445E1
1.236854292E0,1.396655640E1,-1.667307816E1,4.102818146E0,2.213344414E1
1.246910292E0,1.543919403E1,-1.634061951E1,4.385879517E0,2.290459555E1
1.256966292E0,1.633403320E1,-1.606788666E1,3.827839966E0,2.322993717E1
1.267022292E0,1.745580048E1,-1.661080765E1,3.244802399E0,2.431363082E1
1.277077292E0,1.900672531E1,-1.666933594E1,3.602109375E0,2.553620096E1
1.287133292E0,2.001697449E1,-1.606174942E1,4.985382843E0,2.614408354E1
1.297189292E0,2.064806213E1,-1.550939804E1,6.317013702E0,2.658549529E1
1.307244292E0,2.086900269E1,-1.455558151E1,7.340136108E0,2.648127309E1
1.317300292E0,2.124561951E1,-1.329310684E1,8.099057922E0,2.633776333E1
1.327356292E0,2.254581573E1,-1.152064270E1,8.689579926E0,2.676841076E1
1.337412292E0,2.537448349E1,-8.253386993E0,7.955207062E0,2.784363713E1
1.347467292E0,2.788566147E1,-8.773854675E0,7.080126801E0,3.007854446E1
1.357523292E0,2.752012161E1,-1.037791901E1,7.310497742E0,3.030679253E1
1.367579292E0,2.545875824E1,-9.906698914E0,7.662116547E0,2.837250578E1
1.377634292E0,2.093621292E1,-9.128766632E0,7.237599335E0,2.395917853E1
1.387690292E0,1.674672501E1,-9.451345825E0,6.539301453E0,2.031115949E1
1.397746292E0,1.362032639E1,-1.031040939E1,5.076094208E0,1.782090248E1
1.407802292E0,1.217627930E1,-9.730964355E0,-4.350253601E0,1.618264970E1
1.417857292E0,1.105675735E1,-8.539292450E0,-1.405367523E1,1.981608403E1
1.427913292E0,8.334368591E0,-8.716972961E0,-2.703228607E0,1.235939976E1
1.437969292E0,5.401367798E0,-1.048659302E1,6.274801483E0,1.336100823E1
1.448024875E0,5.742209015E0,-8.803792419E0,9.361831970E0,1.407563935E1
1.458079875E0,6.676715698E0,-9.152716827E0,8.780141602E0,1.433323566E1
1.468135875E0,8.037685547E0,-8.699609070E0,5.660179596E0,1.312727009E1
1.478191875E0,8.529712372E0,-7.612270203E0,1.827848969E0,1.157772355E1
1.488246875E0,8.521629181E0,-9.078321533E0,2.623743896E0,1.272470502E1
1.498302875E0,4.349954224E0,-7.372019806E0,-6.309379578E-1,8.582940083E0
1.508358875E0,3.518134003E0,-5.695655823E0,7.943381653E0,1.038821805E1
1.518414875E0,3.543281708E0,-5.402565308E0,5.511688385E0,8.492424037E0
1.528469875E0,6.914421387E0,-7.295977936E0,4.385879517E0,1.096706234E1
1.538525875E0,4.879552917E0,-7.538922729E0,3.415746918E0,9.607950853E0
1.548581875E0,2.360740814E0,-7.178172913E0,9.354048157E0,1.202486925E1
1.558637875E0,7.911048889E-1,-7.333549805E0,4.804558868E0,8.802873713E0
1.568692875E0,2.642005920E0,-6.262826385E0,2.565065918E0,7.265173968E0
1.578748875E0,5.765410767E0,-5.223687286E0,4.058061218E0,8.774664155E0
1.588804875E0,6.431974640E0,-4.191284180E0,5.435347137E0,9.406389283E0
1.598859875E0,4.177213440E0,-4.395609283E0,2.209106140E0,6.453730939E0
1.608915875E0,-1.164428558E0,-5.494474182E0,-3.437601471E0,6.585001464E0
1.618971875E0,-1.879790955E0,-6.082900543E0,-2.482437744E0,6.833578141E0
1.629027875E0,-1.745071106E0,-6.340365143E0,4.698728943E-1,6.592896469E0
1.639082875E0,-1.115779724E0,-7.299420776E0,2.495610352E0,7.794522377E0
1.649138875E0,-3.159330139E0,-6.405779114E0,-7.596702576E-1,7.182789979E0
1.659194875E0,-2.269430695E0,-5.023403778E0,-1.813628540E0,5.802943191E0
1.669250875E0,-5.783972168E-1,-3.753145294E0,-1.913620605E0,4.252362492E0
1.679305875E0,1.073417816E0,-3.004552002E0,-6.008505249E-1,3.246625925E0
1.689361875E0,2.756817169E0,-3.183729401E0,7.744894409E-1,4.282056480E0
1.699417875E0,3.873195648E0,-3.655248871E0,1.260977783E0,5.472892636E0
1.709472875E0,4.054468689E0,-4.516408081E0,1.090033264E0,6.166427720E0
1.719528875E0,3.566333771E0,-4.966671753E0,8.032296753E-1,6.166988145E0
1.729584875E0,2.812800751E0,-4.810097351E0,9.442364502E-1,5.651589782E0
1.739640875E0,2.912643127E0,-5.004692688E0,1.462009735E0,5.972261829E0
1.749695875E0,2.467768250E0,-5.803431702E0,1.260079651E0,6.430979737E0
1.759751875E0,1.199156342E0,-5.944737854E0,-2.014810181E-1,6.067823225E0
1.769807875E0,-3.914360046E-1,-5.924829254E0,-1.436712341E0,6.109088818E0
1.779862875E0,-7.135661316E-1,-5.745951233E0,-2.340532837E0,6.245256292E0
1.789918875E0,-8.089178467E-1,-5.206622772E0,-3.207080841E0,6.168357666E0
1.799974875E0,-1.601369934E0,-3.935166779E0,-3.643124084E0,5.596630802E0
1.810030875E0,-1.846110992E0,-5.009333038E0,-3.554807739E0,6.413906871E0
1.820085875E0,-6.137237549E-1,-6.921606445E0,-4.855902100E0,8.477327281E0
1.830141875E0,-7.620652771E-1,-8.347840576E0,-4.697082367E0,9.608838043E0
1.840197875E0,-1.640588379E-1,-1.145912064E1,-3.934568024E0,1.211689674E1
1.850253875E0,-5.092410278E-1,-1.406086029E1,-1.758243713E0,1.417951126E1
1.860308875E0,-1.018032990E0,-1.516286865E1,9.386979675E-1,1.522596896E1
1.870364875E0,-1.208586731E0,-1.585233490E1,3.091072083E0,1.619604675E1
1.880420875E0,-8.373587036E-1,-1.624496841E1,4.287683716E0,1.682214017E1
1.890475875E0,7.620652771E-1,-1.638417892E1,4.834346924E0,1.709950212E1
1.900531875E0,3.492088165E0,-1.680704956E1,4.969216461E0,1.787077802E1
1.910587875E0,6.083050232E0,-1.794842606E1,6.085894318E0,1.990446200E1
1.920643875E0,8.096213837E0,-1.894670013E1,9.346264343E0,2.262473827E1
1.930698875E0,9.065298615E0,-1.910417267E1,1.308024948E1,2.486447222E1
1.940754875E0,9.621541901E0,-1.878862885E1,1.549921921E1,2.618802090E1
1.950810875E0,1.018152740E1,-1.832085159E1,1.647384247E1,2.665904329E1
1.960866875E0,1.103190903E1,-1.788346115E1,1.538216263E1,2.604097016E1
1.970921875E0,1.244871277E1,-1.718336700E1,1.308518921E1,2.492911406E1
1.980977875E0,1.367047211E1,-1.593152023E1,1.017838394E1,2.333012311E1
1.991033875E0,1.518891449E1,-1.421039932E1,7.370971985E0,2.206739224E1
2.001088875E0,1.719609055E1,-1.175730057E1,5.181774445E0,2.146602975E1
2.011144875E0,1.855750946E1,-1.001507355E1,1.961371307E0,2.117852292E1
2.021200875E0,1.854059464E1,-1.017658768E1,-1.466650085E0,2.120065208E1
2.031256875E0,1.906181076E1,-1.213810867E1,-3.995341644E0,2.294883584E1
2.041311875E0,1.832189941E1,-1.298998718E1,-4.942721558E0,2.299700549E1
2.051367875E0,1.582134933E1,-1.140134079E1,-4.461622009E0,2.000529274E1
2.061423875E0,1.183169586E1,-9.448501740E0,-4.077371063E0,1.568082163E1
2.071479875E0,7.947872314E0,-7.992030487E0,-7.190297699E0,1.336942806E1
2.081534875E0,4.534969482E0,-1.084719315E1,-5.758674774E0,1.309159587E1
2.091590875E0,7.117698669E-1,-1.253059250E1,-5.574707336E0,1.373316157E1
2.101646875E0,2.670446777E0,-1.317829559E1,-5.930068359E0,1.469572970E1
2.111701875E0,2.721340942E0,-1.106079895E1,1.927990723E0,1.155266715E1
2.121757875E0,3.039878540E0,-8.673563232E0,6.196813660E0,1.108476703E1
2.131813875E0,6.109694824E0,-8.944799194E0,4.845872955E0,1.186677244E1
2.141869875E0,7.044201508E0,-8.431067505E0,5.312452698E0,1.220351703E1
2.151924875E0,6.989714813E0,-8.035440216E0,4.183051300E0,1.144212965E1
2.161980875E0,7.401209106E0,-7.045997772E0,3.064427490E0,1.066839710E1
2.172036875E0,9.852960663E0,-7.212751007E0,3.731739807E0,1.276833947E1
2.182091875E0,1.300854858E1,-7.779023438E0,6.725963287E0,1.658234374E1
2.192147875E0,1.180924255E1,-6.941215668E0,6.762337646E0,1.527638357E1
2.202203875E0,1.120614670E1,-7.163952484E0,5.807323608E0,1.451292343E1
2.212259875E0,6.638844452E0,-6.653364258E0,1.951791229E0,9.599531270E0
2.222314875E0,5.880371704E0,-9.004075928E0,1.079405365E0,1.080820386E1
2.232370875E0,1.190953400E1,-1.079929276E1,1.297307236E1,2.065822670E1
2.242426875E0,5.031486969E0,-5.685776367E0,1.207344315E1,1.426225590E1
2.252482875E0,2.070344696E0,-8.070766754E0,5.328619080E0,9.890287380E0
2.262537875E0,2.626138916E0,-7.980354767E0,2.796185303E0,8.854451991E0
2.272593875E0,2.849025421E0,-6.496041412E0,3.150348816E0,7.761455891E0
2.282649875E0,3.509452057E0,-7.133116608E0,3.467688904E0,8.673088989E0
2.292704875E0,4.170627136E0,-7.845036163E0,6.331533508E0,1.090995141E1
