"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.046324158E-1,1.949695587E0,9.734856262E0,9.928730396E0
1.006500004E-2,1.175056458E-1,1.931882629E0,9.787097626E0,9.976635606E0
2.013000008E-2,9.265731812E-2,1.921554108E0,9.853409729E0,1.003945411E1
3.019499988E-2,7.918533325E-2,1.933080139E0,9.827513580E0,1.001614159E1
4.025999992E-2,8.322692871E-2,1.997595978E0,9.721384277E0,9.924849051E0
5.032599997E-2,1.341210938E-1,2.039808197E0,9.679920502E0,9.893415329E0
6.039100001E-2,1.721420288E-1,2.109413452E0,9.659562836E0,9.888701238E0
7.045600004E-2,9.400451660E-2,2.066003723E0,9.713450775E0,9.931179899E0
8.052100008E-2,5.164260864E-2,2.005529480E0,9.717791748E0,9.922715954E0
9.058599989E-2,9.400451660E-2,2.030677185E0,9.676627350E0,9.887851311E0
1.006509999E-1,9.475296021E-2,2.081721039E0,9.647438049E0,9.869934221E0
1.107160000E-1,9.370513916E-2,2.133663025E0,9.642648010E0,9.876333288E0
1.207820000E-1,1.058299255E-1,2.163301392E0,9.652377777E0,9.892394535E0
1.308470001E-1,1.354682922E-1,2.183359680E0,9.639654236E0,9.884753155E0
1.409120001E-1,2.008822632E-1,2.199076996E0,9.571994934E0,9.823409812E0
1.509769999E-1,2.923420715E-1,2.223176880E0,9.553283844E0,9.812910452E0
1.610419999E-1,3.303630066E-1,2.233206024E0,9.541009369E0,9.804448411E0
1.711070000E-1,3.841012573E-1,2.250719604E0,9.627080383E0,9.894137113E0
1.811720000E-1,4.430786133E-1,2.229463806E0,9.725874939E0,9.987966302E0
1.912380001E-1,4.834945679E-1,2.176024933E0,9.745783539E0,9.997457091E0
2.013030001E-1,5.147795105E-1,2.156415710E0,9.773475952E0,1.002177424E1
2.113679999E-1,5.019062805E-1,2.180216217E0,9.793534241E0,1.004582329E1
2.214329999E-1,4.885839844E-1,2.192640381E0,9.792935486E0,1.004728678E1
2.314980000E-1,4.845423889E-1,2.203567657E0,9.808503113E0,1.006465226E1
2.415630000E-1,5.230123901E-1,2.224075012E0,9.824220428E0,1.008639473E1
2.516280001E-1,5.890251160E-1,2.265239410E0,9.764195251E0,1.004080520E1
2.616939999E-1,6.617738342E-1,2.338736572E0,9.709558868E0,1.000915415E1
2.717589999E-1,6.982978821E-1,2.499053192E0,9.681567078E0,1.002325436E1
2.818239999E-1,7.318281555E-1,2.700534210E0,9.641450500E0,1.003922433E1
2.918890000E-1,7.547305298E-1,2.962938538E0,9.566456451E0,1.004319232E1
3.019540000E-1,7.497908020E-1,3.181633759E0,9.489366760E0,1.003658613E1
3.120190001E-1,7.903564453E-1,3.373983765E0,9.389374695E0,1.000843579E1
3.220839999E-1,9.270222473E-1,3.526067505E0,9.512418823E0,1.018717989E1
3.321499999E-1,1.151255951E0,3.646267548E0,9.549990692E0,1.028702967E1
3.422150000E-1,1.423689423E0,3.511098633E0,9.229357452E0,9.976760204E0
3.522800000E-1,1.704804840E0,3.500171356E0,9.289831696E0,1.007266261E1
3.623450000E-1,1.744921417E0,3.772904205E0,9.270821228E0,1.016010252E1
3.724100001E-1,1.476080475E0,4.312082977E0,8.472680969E0,9.620768991E0
3.824749999E-1,1.433718567E0,4.950355682E0,8.290360107E0,9.761743749E0
3.925409999E-1,1.608255615E0,5.113366699E0,8.358019409E0,9.929224218E0
4.026060000E-1,1.833836517E0,5.022206268E0,7.799381104E0,9.455995864E0
4.126710000E-1,2.031575317E0,5.042114868E0,7.278614044E0,9.084516664E0
4.227360000E-1,2.516417084E0,4.590653687E0,8.063282318E0,9.613687011E0
4.328010001E-1,3.202290802E0,4.070036316E0,9.689949646E0,1.098703719E1
4.428659999E-1,2.333796844E0,4.389022980E0,8.940907288E0,1.022985599E1
4.529309999E-1,2.218686218E0,3.850592651E0,8.618028717E0,9.696393725E0
4.629970000E-1,2.578238525E0,3.985312500E0,8.202792206E0,9.477121377E0
4.730620000E-1,2.777174835E0,4.944966888E0,6.874304810E0,8.911872093E0
4.831270000E-1,3.241060181E0,5.660928040E0,5.538332977E0,8.557085341E0
4.931920001E-1,3.067570953E0,5.754034424E0,5.194048920E0,8.336488942E0
5.032569999E-1,3.853436737E0,6.226452026E0,5.558690643E0,9.193297623E0
