"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.966671753E-1,2.402054901E0,9.564510498E0,9.874026894E0
1.006500004E-2,5.276527405E-1,2.429897003E0,9.604028320E0,9.920694373E0
2.013000008E-2,5.209167480E-1,2.435585175E0,9.630523224E0,9.947381915E0
3.019600012E-2,5.056484985E-1,2.410587158E0,9.610464935E0,9.921070866E0
4.026099993E-2,5.206173706E-1,2.384691010E0,9.582024078E0,9.888022001E0
5.032599997E-2,5.131329346E-1,2.414029999E0,9.660760345E0,9.971014828E0
6.039200001E-2,6.077362061E-1,2.422262878E0,9.755513306E0,1.007009139E1
7.045700005E-2,6.761439514E-1,2.413281555E0,9.854307861E0,1.016801268E1
8.052200009E-2,7.307803345E-1,2.513572998E0,9.750573578E0,1.009582955E1
9.058800014E-2,7.646099854E-1,2.446063385E0,9.740394745E0,1.007189874E1
1.006529999E-1,8.023315430E-1,2.425106964E0,9.735455017E0,1.006498704E1
1.107190000E-1,8.123606873E-1,2.395468597E0,9.767488403E0,1.008969917E1
1.207840000E-1,8.280780029E-1,2.316432953E0,9.783056030E0,1.008760428E1
1.308490001E-1,8.074209595E-1,2.279759216E0,9.787846069E0,1.008222006E1
1.409150001E-1,7.436535645E-1,2.251617737E0,9.803563385E0,1.008626086E1
1.509800002E-1,7.358697510E-1,2.216291199E0,9.746681671E0,1.002253733E1
1.610450000E-1,6.747967529E-1,2.176324310E0,9.749525757E0,1.001224204E1
1.711110000E-1,6.075865173E-1,2.142195282E0,9.672136688E0,9.925139300E0
1.811760000E-1,5.548960876E-1,2.085612946E0,9.615105286E0,9.854336136E0
1.912423333E-1,5.155279541E-1,2.040107574E0,9.526489563E0,9.756116614E0
2.013073333E-1,4.661306763E-1,2.019151154E0,9.467512207E0,9.691647774E0
2.113723333E-1,4.285588074E-1,1.987417145E0,9.419013062E0,9.635937765E0
2.214383334E-1,4.002676392E-1,1.994003448E0,9.365125122E0,9.583414448E0
2.315033334E-1,4.028123474E-1,2.012265472E0,9.343120880E0,9.565844338E0
2.415683335E-1,4.092489624E-1,2.050735474E0,9.335187378E0,9.566541908E0
2.516343333E-1,4.234693909E-1,2.079775085E0,9.343120880E0,9.581163735E0
